Epoch: 0
Validation loss: 15660.054688
Validation accuracy: 0.233674
Test accuracy: 0.249822
Validation loss: 15435.983398
Validation accuracy: 0.304083
Test accuracy: 0.292088
Validation loss: 13325.875977
Validation accuracy: 0.649140
Test accuracy: 0.652887
Validation loss: 13653.343750
Validation accuracy: 0.718711
Test accuracy: 0.703350
Validation loss: 12105.615234
Validation accuracy: 0.727101
Test accuracy: 0.709979
Validation loss: 11430.457031
Validation accuracy: 0.800867
Test accuracy: 0.793585
Training loss: 107276.753464
Training accuracy: 0.755293

Epoch: 1
Validation loss: 11650.647461
Validation accuracy: 0.762621
Test accuracy: 0.753172
Validation loss: 11837.066406
Validation accuracy: 0.721018
Test accuracy: 0.727940
Validation loss: 11004.657227
Validation accuracy: 0.829604
Test accuracy: 0.823735
Validation loss: 11067.375000
Validation accuracy: 0.810096
Test accuracy: 0.809836
Validation loss: 11245.088867
Validation accuracy: 0.830793
Test accuracy: 0.823735
Validation loss: 10761.460938
Validation accuracy: 0.852748
Test accuracy: 0.849109
Training loss: 91077.010147
Training accuracy: 0.842310

Epoch: 2
Validation loss: 10691.563477
Validation accuracy: 0.842190
Test accuracy: 0.844405
Validation loss: 10841.000000
Validation accuracy: 0.851419
Test accuracy: 0.846686
Validation loss: 10583.561523
Validation accuracy: 0.860159
Test accuracy: 0.854455
Validation loss: 10528.075195
Validation accuracy: 0.865334
Test accuracy: 0.860157
Validation loss: 10884.550781
Validation accuracy: 0.849252
Test accuracy: 0.837705
Validation loss: 10604.081055
Validation accuracy: 0.855335
Test accuracy: 0.847897
Training loss: 87893.154663
Training accuracy: 0.851240

Epoch: 3
Validation loss: 10679.399414
Validation accuracy: 0.855545
Test accuracy: 0.851105
Validation loss: 10912.109375
Validation accuracy: 0.864355
Test accuracy: 0.861654
Validation loss: 10470.380859
Validation accuracy: 0.874773
Test accuracy: 0.873414
Validation loss: 10624.350586
Validation accuracy: 0.875192
Test accuracy: 0.876978
Validation loss: 10562.870117
Validation accuracy: 0.883303
Test accuracy: 0.875837
Validation loss: 10802.935547
Validation accuracy: 0.858901
Test accuracy: 0.857947
Training loss: 85663.882523
Training accuracy: 0.874658

Epoch: 4
Validation loss: 10567.543945
Validation accuracy: 0.877849
Test accuracy: 0.874483
Validation loss: 10379.393555
Validation accuracy: 0.868060
Test accuracy: 0.861654
Validation loss: 10304.945312
Validation accuracy: 0.892463
Test accuracy: 0.886671
Validation loss: 10396.858398
Validation accuracy: 0.883723
Test accuracy: 0.878047
Validation loss: 9956.786133
Validation accuracy: 0.893092
Test accuracy: 0.889309
Validation loss: 10261.701172
Validation accuracy: 0.860089
Test accuracy: 0.858019
Training loss: 84041.506134
Training accuracy: 0.877010

Epoch: 5
Validation loss: 10461.107422
Validation accuracy: 0.880646
Test accuracy: 0.881611
Validation loss: 10211.753906
Validation accuracy: 0.897567
Test accuracy: 0.892160
Validation loss: 10080.319336
Validation accuracy: 0.891204
Test accuracy: 0.888097
Validation loss: 9964.519531
Validation accuracy: 0.899385
Test accuracy: 0.895296
Validation loss: 10269.814453
Validation accuracy: 0.903160
Test accuracy: 0.895225
Validation loss: 9909.109375
