Epoch: 0
Validation loss: 16275.493164
Validation accuracy: 0.572228
Test accuracy: 0.562366
Validation loss: 14691.060547
Validation accuracy: 0.572228
Test accuracy: 0.562366
Validation loss: 13589.733398
Validation accuracy: 0.643476
Test accuracy: 0.634070
Validation loss: 12985.337891
Validation accuracy: 0.704657
Test accuracy: 0.690306
Validation loss: 12848.813477
Validation accuracy: 0.590547
Test accuracy: 0.588097
Validation loss: 11566.460938
Validation accuracy: 0.781080
Test accuracy: 0.777976
Training loss: 109816.779358
Training accuracy: 0.791744

Epoch: 1
Validation loss: 11558.501953
Validation accuracy: 0.791218
Test accuracy: 0.787883
Validation loss: 11466.427734
Validation accuracy: 0.797791
Test accuracy: 0.787099
Validation loss: 11241.849609
Validation accuracy: 0.826738
Test accuracy: 0.822452
Validation loss: 13495.739258
Validation accuracy: 0.817858
Test accuracy: 0.813970
Validation loss: 11533.031250
Validation accuracy: 0.766886
Test accuracy: 0.765289
Validation loss: 10976.704102
Validation accuracy: 0.850510
Test accuracy: 0.843621
Training loss: 93211.700226
Training accuracy: 0.829050

Epoch: 2
Validation loss: 10877.776367
Validation accuracy: 0.832681
Test accuracy: 0.826016
Validation loss: 10659.041016
Validation accuracy: 0.866173
Test accuracy: 0.857520
Validation loss: 10553.045898
Validation accuracy: 0.848133
Test accuracy: 0.841910
Validation loss: 11001.185547
Validation accuracy: 0.831842
Test accuracy: 0.821953
Validation loss: 10545.722656
Validation accuracy: 0.860089
Test accuracy: 0.847612
Validation loss: 10958.394531
Validation accuracy: 0.862956
Test accuracy: 0.855880
Training loss: 87175.509720
Training accuracy: 0.876287

Epoch: 3
Validation loss: 10409.696289
Validation accuracy: 0.879807
Test accuracy: 0.873343
Validation loss: 10041.493164
Validation accuracy: 0.890505
Test accuracy: 0.887883
Validation loss: 10161.427734
Validation accuracy: 0.882254
Test accuracy: 0.883179
Validation loss: 10684.511719
Validation accuracy: 0.887079
Test accuracy: 0.884818
Validation loss: 10338.692383
Validation accuracy: 0.886869
Test accuracy: 0.885816
Validation loss: 10631.056641
Validation accuracy: 0.864145
Test accuracy: 0.864718
Training loss: 85096.934097
Training accuracy: 0.874641

Epoch: 4
Validation loss: 10168.513672
Validation accuracy: 0.878409
Test accuracy: 0.878475
Validation loss: 10185.885742
Validation accuracy: 0.879877
Test accuracy: 0.878118
Validation loss: 10356.975586
Validation accuracy: 0.890994
Test accuracy: 0.887028
Validation loss: 10349.201172
Validation accuracy: 0.897287
Test accuracy: 0.897006
Validation loss: 9987.797852
Validation accuracy: 0.895889
Test accuracy: 0.896080
Validation loss: 10332.826172
Validation accuracy: 0.891693
Test accuracy: 0.893514
Training loss: 84401.934799
Training accuracy: 0.894112

Epoch: 5
Validation loss: 10008.660156
Validation accuracy: 0.896448
Test accuracy: 0.894155
Validation loss: 10269.521484
Validation accuracy: 0.897287
Test accuracy: 0.896151
Validation loss: 10031.163086
Validation accuracy: 0.900573
Test accuracy: 0.899857
Validation loss: 10071.736328
Validation accuracy: 0.889316
Test accuracy: 0.887313
Validation loss: 10294.882812
Validation accuracy: 0.889806
Test accuracy: 0.890449
Validation loss: 9969.703125
Validation accuracy: 0.901762
Test accuracy: 0.900499
Training loss: 83152.994873
Training accuracy: 0.896778

Epoch: 6
Validation loss: 9919.004883
Validation accuracy: 0.899035
Test accuracy: 0.897434
Validation loss: 10004.125977
Validation accuracy: 0.898196
Test accuracy: 0.899572
Validation loss: 9962.580078
Validation accuracy: 0.903090
Test accuracy: 0.903564
Validation loss: 10085.374023
Validation accuracy: 0.892882
Test accuracy: 0.892017
Validation loss: 10291.843750
Validation accuracy: 0.894700
Test accuracy: 0.892302
Validation loss: 10151.534180
Validation accuracy: 0.905957
Test accuracy: 0.904490
Training loss: 82161.364243
Training accuracy: 0.885740

Epoch: 7
Validation loss: 10141.385742
