Namespace(char='256', dev='19,21', embed='256', filetype='.ner', mlp='512', output='ner_adam_baseline', test='22,24', train='0,18', trainer='adam', word='256')
Epoch: 0
Validation loss: 250289.513428
Validation accuracy: 0.003530
Test accuracy: 0.002686
Validation loss: 137912.818787
Validation accuracy: 0.906789
Test accuracy: 0.912106
Validation loss: 133132.998413
Validation accuracy: 0.913818
Test accuracy: 0.919289
Validation loss: 131648.926331
Validation accuracy: 0.920586
Test accuracy: 0.926188
Validation loss: 130801.820496
Validation accuracy: 0.923150
Test accuracy: 0.927735
Validation loss: 129282.587402
Validation accuracy: 0.931608
Test accuracy: 0.935875
Validation loss: 128712.059143
Validation accuracy: 0.937752
Test accuracy: 0.943496
Validation loss: 129688.199646
Validation accuracy: 0.932583
Test accuracy: 0.935031
Validation loss: 127373.999817
Validation accuracy: 0.941131
Test accuracy: 0.944687
Validation loss: 127250.989197
Validation accuracy: 0.944409
Test accuracy: 0.949378
Validation loss: 127032.348633
Validation accuracy: 0.945405
Test accuracy: 0.949541
Validation loss: 127020.686951
Validation accuracy: 0.946672
Test accuracy: 0.951728
Validation loss: 127305.341125
Validation accuracy: 0.947587
Test accuracy: 0.951901
Validation loss: 126804.960632
Validation accuracy: 0.950282
Test accuracy: 0.954079
Validation loss: 126940.302429
Validation accuracy: 0.947084
Test accuracy: 0.949011
Validation loss: 125996.289124
Validation accuracy: 0.952635
Test accuracy: 0.954811
Validation loss: 126957.291260
Validation accuracy: 0.952213
Test accuracy: 0.955717
Validation loss: 126155.171387
Validation accuracy: 0.952605
Test accuracy: 0.955717
Validation loss: 126216.773743
Validation accuracy: 0.955049
Test accuracy: 0.958536
Training loss: 912662.163925
Training accuracy: 0.958737

Epoch: 1
Validation loss: 125511.078735
Validation accuracy: 0.952856
Test accuracy: 0.955900
Validation loss: 125878.105072
Validation accuracy: 0.952424
Test accuracy: 0.955229
Validation loss: 126287.913330
Validation accuracy: 0.957623
Test accuracy: 0.959940
Validation loss: 125510.983643
Validation accuracy: 0.958961
Test accuracy: 0.961558
Validation loss: 125880.991333
Validation accuracy: 0.959272
Test accuracy: 0.962423
Validation loss: 124732.632416
Validation accuracy: 0.959956
Test accuracy: 0.962066
Validation loss: 125348.205933
Validation accuracy: 0.959856
Test accuracy: 0.961140
Validation loss: 124377.467712
Validation accuracy: 0.961646
Test accuracy: 0.963226
Validation loss: 125284.258636
Validation accuracy: 0.961394
Test accuracy: 0.962280
Validation loss: 125447.718140
Validation accuracy: 0.959685
Test accuracy: 0.962311
Validation loss: 125111.263855
Validation accuracy: 0.960821
Test accuracy: 0.963664
Validation loss: 124400.635071
Validation accuracy: 0.963285
Test accuracy: 0.965007
Validation loss: 125410.806702
Validation accuracy: 0.964260
Test accuracy: 0.966442
Validation loss: 124681.431274
Validation accuracy: 0.963928
Test accuracy: 0.967866
Validation loss: 123769.924011
Validation accuracy: 0.965246
Test accuracy: 0.966137
Validation loss: 125476.750580
Validation accuracy: 0.964119
Test accuracy: 0.965964
Validation loss: 123756.537109
Validation accuracy: 0.965990
Test accuracy: 0.969067
Validation loss: 124209.892822
Validation accuracy: 0.967337
Test accuracy: 0.969576
Validation loss: 124223.866211
Validation accuracy: 0.966221
Test accuracy: 0.968151
Training loss: 881919.745178
Training accuracy: 0.971664

Epoch: 2
Validation loss: 124200.875854
Validation accuracy: 0.967177
Test accuracy: 0.969209
Validation loss: 124389.315399
Validation accuracy: 0.967358
Test accuracy: 0.969851
Validation loss: 124453.517700
Validation accuracy: 0.967096
Test accuracy: 0.969454
Validation loss: 123923.109436
Validation accuracy: 0.968403
Test accuracy: 0.971489
Validation loss: 124219.233948
Validation accuracy: 0.967891
Test accuracy: 0.970715
Validation loss: 124087.189148
Validation accuracy: 0.968494
Test accuracy: 0.969861
Validation loss: 124866.760132
Validation accuracy: 0.968906
Test accuracy: 0.971591
Validation loss: 123429.369019
Validation accuracy: 0.969831
Test accuracy: 0.971580
Validation loss: 124416.587524
Validation accuracy: 0.968725
Test accuracy: 0.971611
Validation loss: 124152.288330
Validation accuracy: 0.970958
Test accuracy: 0.972954
Validation loss: 124278.802551
Validation accuracy: 0.970686
Test accuracy: 0.972679
Validation loss: 123991.955322
Validation accuracy: 0.968574
Test accuracy: 0.970573
Validation loss: 123565.779907
Validation accuracy: 0.969681
Test accuracy: 0.973208
Validation loss: 124167.953918
Validation accuracy: 0.970093
Test accuracy: 0.973402
Validation loss: 124656.106812
Validation accuracy: 0.970304
Test accuracy: 0.972842
Validation loss: 123918.747314
Validation accuracy: 0.971169
Test accuracy: 0.973493
Validation loss: 123703.638428
Validation accuracy: 0.970877
Test accuracy: 0.973514
Validation loss: 123580.411316
Validation accuracy: 0.972205
Test accuracy: 0.975477
Validation loss: 123091.764343
Validation accuracy: 0.972003
Test accuracy: 0.974969
Training loss: 871646.930389
Training accuracy: 0.977148

Epoch: 3
Validation loss: 123272.121399
Validation accuracy: 0.972044
Test accuracy: 0.974389
Validation loss: 123377.167511
Validation accuracy: 0.972376
Test accuracy: 0.974826
Validation loss: 123644.487366
Validation accuracy: 0.971370
Test accuracy: 0.973605
Validation loss: 123809.792145
Validation accuracy: 0.972989
Test accuracy: 0.975956
Validation loss: 123245.930603
Validation accuracy: 0.973140
Test accuracy: 0.976566
Validation loss: 123345.382812
Validation accuracy: 0.973009
Test accuracy: 0.976007
Validation loss: 123068.700256
Validation accuracy: 0.972748
Test accuracy: 0.975477
Validation loss: 123373.442139
Validation accuracy: 0.972768
Test accuracy: 0.975783
Validation loss: 123508.700012
Validation accuracy: 0.973381
Test accuracy: 0.976353
Validation loss: 123230.935486
Validation accuracy: 0.974286
Test accuracy: 0.976699
Validation loss: 123102.785400
Validation accuracy: 0.974115
Test accuracy: 0.976851
Validation loss: 124090.744446
Validation accuracy: 0.973230
Test accuracy: 0.976414
Validation loss: 123367.012085
Validation accuracy: 0.974005
Test accuracy: 0.976810
Validation loss: 123495.916840
Validation accuracy: 0.973472
Test accuracy: 0.976637
Validation loss: 123147.257019
Validation accuracy: 0.974930
Test accuracy: 0.978011
Validation loss: 124545.543610
Validation accuracy: 0.974095
Test accuracy: 0.977258
Validation loss: 122718.066528
Validation accuracy: 0.973371
Test accuracy: 0.975844
Validation loss: 123076.265503
Validation accuracy: 0.975604
Test accuracy: 0.978225
Validation loss: 123988.909241
Validation accuracy: 0.974417
Test accuracy: 0.977584
Training loss: 869292.554321
Training accuracy: 0.979894

Epoch: 4
Validation loss: 123341.716858
Validation accuracy: 0.974678
Test accuracy: 0.976953
Validation loss: 123393.746765
Validation accuracy: 0.974668
Test accuracy: 0.977044
Validation loss: 122770.144775
Validation accuracy: 0.974960
Test accuracy: 0.977787
Validation loss: 122854.776733
Validation accuracy: 0.973703
Test accuracy: 0.977258
Validation loss: 123114.226379
Validation accuracy: 0.975714
Test accuracy: 0.978123
Validation loss: 123522.980713
Validation accuracy: 0.976137
Test accuracy: 0.977909
Validation loss: 122363.841003
Validation accuracy: 0.976348
Test accuracy: 0.978489
Validation loss: 123387.555420
Validation accuracy: 0.972426
Test accuracy: 0.974307
Validation loss: 122906.343079
Validation accuracy: 0.975986
Test accuracy: 0.979517
Validation loss: 123023.327942
Validation accuracy: 0.975704
Test accuracy: 0.979171
Validation loss: 123072.677002
Validation accuracy: 0.976338
Test accuracy: 0.978876
Validation loss: 123379.458679
Validation accuracy: 0.976579
Test accuracy: 0.979385
Validation loss: 123235.896606
Validation accuracy: 0.976287
Test accuracy: 0.979466
Validation loss: 122319.824707
Validation accuracy: 0.977142
Test accuracy: 0.979161
Validation loss: 123828.233643
Validation accuracy: 0.976177
Test accuracy: 0.978713
Validation loss: 123673.749512
Validation accuracy: 0.975191
Test accuracy: 0.978734
Validation loss: 122985.877625
Validation accuracy: 0.977001
Test accuracy: 0.979375
Validation loss: 122859.799591
Validation accuracy: 0.976549
Test accuracy: 0.979761
Validation loss: 123486.577576
Validation accuracy: 0.976871
Test accuracy: 0.980097
Training loss: 864732.200989
Training accuracy: 0.983228

Epoch: 5
Validation loss: 123170.671570
Validation accuracy: 0.976458
Test accuracy: 0.979670
Validation loss: 121962.607056
Validation accuracy: 0.977464
Test accuracy: 0.979700
Validation loss: 122661.169067
Validation accuracy: 0.977484
Test accuracy: 0.979090
Validation loss: 123150.518982
Validation accuracy: 0.977434
Test accuracy: 0.979527
Validation loss: 123066.185730
Validation accuracy: 0.976911
Test accuracy: 0.979517
Validation loss: 123076.998413
Validation accuracy: 0.977092
Test accuracy: 0.979822
Validation loss: 123033.268677
Validation accuracy: 0.977705
