Namespace(char='256', dev='19,21', embed='256', filetype='.ner', mlp='512', output='ner_baseline', test='22,24', train='0,18', trainer='sgd', word='256')
Epoch: 0
Validation loss: 278836.647339
Validation accuracy: 0.001146
Test accuracy: 0.000590
Validation loss: 146848.613464
Validation accuracy: 0.905391
Test accuracy: 0.909959
Validation loss: 143530.765381
Validation accuracy: 0.905391
Test accuracy: 0.909959
Validation loss: 144627.958557
Validation accuracy: 0.905391
Test accuracy: 0.909959
Validation loss: 146749.909119
Validation accuracy: 0.878290
Test accuracy: 0.882445
Validation loss: 135045.107117
Validation accuracy: 0.908941
Test accuracy: 0.915290
Validation loss: 134844.209839
Validation accuracy: 0.908217
Test accuracy: 0.913754
Validation loss: 133902.955750
Validation accuracy: 0.913245
Test accuracy: 0.918709
Validation loss: 131625.398132
Validation accuracy: 0.919711
Test accuracy: 0.925506
Validation loss: 133701.554443
Validation accuracy: 0.911214
Test accuracy: 0.917305
Validation loss: 131249.741333
Validation accuracy: 0.922406
Test accuracy: 0.926911
Validation loss: 131505.236267
Validation accuracy: 0.918877
Test accuracy: 0.921518
Validation loss: 130710.786133
Validation accuracy: 0.923181
Test accuracy: 0.928793
Validation loss: 130760.059387
Validation accuracy: 0.917197
Test accuracy: 0.918516
Validation loss: 132241.788696
Validation accuracy: 0.920355
Test accuracy: 0.926443
Validation loss: 130425.739685
Validation accuracy: 0.923693
Test accuracy: 0.930380
Validation loss: 129633.288025
Validation accuracy: 0.926982
Test accuracy: 0.930340
Validation loss: 128592.494812
Validation accuracy: 0.932995
Test accuracy: 0.934023
Validation loss: 129190.940918
Validation accuracy: 0.931296
Test accuracy: 0.932517
Training loss: 950609.296555
Training accuracy: 0.932385

Epoch: 1
Validation loss: 130189.890198
Validation accuracy: 0.926861
Test accuracy: 0.927857
Validation loss: 129660.885498
Validation accuracy: 0.928410
Test accuracy: 0.931754
Validation loss: 128412.563049
Validation accuracy: 0.937159
Test accuracy: 0.941960
Validation loss: 128577.386597
Validation accuracy: 0.935781
Test accuracy: 0.938511
Validation loss: 127531.254761
Validation accuracy: 0.938939
Test accuracy: 0.943039
Validation loss: 128097.599487
Validation accuracy: 0.940658
Test accuracy: 0.944107
Validation loss: 128084.192322
Validation accuracy: 0.940387
Test accuracy: 0.943466
Validation loss: 127598.795959
Validation accuracy: 0.940729
Test accuracy: 0.944524
Validation loss: 128184.194275
Validation accuracy: 0.940638
Test accuracy: 0.943659
Validation loss: 127794.969421
Validation accuracy: 0.939482
Test accuracy: 0.943944
Validation loss: 127149.638794
Validation accuracy: 0.945435
Test accuracy: 0.948096
Validation loss: 127998.651306
Validation accuracy: 0.940316
Test accuracy: 0.945552
Validation loss: 127335.069031
Validation accuracy: 0.945234
Test accuracy: 0.949490
Validation loss: 126660.972961
Validation accuracy: 0.946612
Test accuracy: 0.949917
Validation loss: 127285.244751
Validation accuracy: 0.938788
Test accuracy: 0.941665
Validation loss: 126648.717834
Validation accuracy: 0.949105
Test accuracy: 0.952054
Validation loss: 126950.778625
Validation accuracy: 0.946923
Test accuracy: 0.949103
Validation loss: 127117.557983
Validation accuracy: 0.945877
Test accuracy: 0.948991
Validation loss: 127688.486450
Validation accuracy: 0.942569
Test accuracy: 0.944483
Training loss: 900920.805786
Training accuracy: 0.952782

Epoch: 2
Validation loss: 127440.973206
Validation accuracy: 0.948341
Test accuracy: 0.949093
Validation loss: 126768.974670
Validation accuracy: 0.948965
Test accuracy: 0.950243
Validation loss: 127448.062683
Validation accuracy: 0.945324
Test accuracy: 0.948513
Validation loss: 127012.660889
Validation accuracy: 0.947798
Test accuracy: 0.949948
Validation loss: 126860.477478
Validation accuracy: 0.949940
Test accuracy: 0.951504
Validation loss: 126600.198120
Validation accuracy: 0.952444
Test accuracy: 0.954903
Validation loss: 126411.922729
Validation accuracy: 0.945415
Test accuracy: 0.949347
Validation loss: 126711.619812
Validation accuracy: 0.950996
Test accuracy: 0.954476
Validation loss: 126656.378540
Validation accuracy: 0.949276
Test accuracy: 0.950517
Validation loss: 126525.789856
Validation accuracy: 0.951227
Test accuracy: 0.952919
Validation loss: 126144.215820
Validation accuracy: 0.953842
Test accuracy: 0.956602
Validation loss: 126868.152771
Validation accuracy: 0.952273
Test accuracy: 0.954415
Validation loss: 125964.204285
Validation accuracy: 0.953822
Test accuracy: 0.956684
Validation loss: 126132.471741
Validation accuracy: 0.954486
Test accuracy: 0.957610
Validation loss: 126396.104431
Validation accuracy: 0.951720
Test accuracy: 0.954242
Validation loss: 126618.225586
Validation accuracy: 0.952957
Test accuracy: 0.954374
Validation loss: 125690.815430
Validation accuracy: 0.955843
Test accuracy: 0.959146
Validation loss: 126429.655518
Validation accuracy: 0.954476
Test accuracy: 0.956348
Validation loss: 126268.473877
Validation accuracy: 0.953088
Test accuracy: 0.952959
Training loss: 891031.494385
Training accuracy: 0.958468

Epoch: 3
Validation loss: 126393.756042
Validation accuracy: 0.954546
Test accuracy: 0.956155
Validation loss: 126161.377075
Validation accuracy: 0.957452
Test accuracy: 0.958719
Validation loss: 125983.312683
Validation accuracy: 0.956326
Test accuracy: 0.956826
Validation loss: 125615.186829
Validation accuracy: 0.958850
Test accuracy: 0.960204
Validation loss: 126123.819397
Validation accuracy: 0.955119
Test accuracy: 0.954842
Validation loss: 124715.353760
Validation accuracy: 0.957221
Test accuracy: 0.959014
Validation loss: 125346.986023
Validation accuracy: 0.957593
Test accuracy: 0.958729
Validation loss: 124706.962891
Validation accuracy: 0.961364
Test accuracy: 0.961598
Validation loss: 125414.859039
Validation accuracy: 0.959041
Test accuracy: 0.961517
Validation loss: 124576.965546
Validation accuracy: 0.959132
Test accuracy: 0.961273
Validation loss: 125209.368958
Validation accuracy: 0.960107
Test accuracy: 0.962443
Validation loss: 124278.938599
Validation accuracy: 0.960580
Test accuracy: 0.961975
Validation loss: 124597.528198
Validation accuracy: 0.958397
Test accuracy: 0.960204
Validation loss: 124576.579102
Validation accuracy: 0.960851
Test accuracy: 0.962677
Validation loss: 125097.673279
Validation accuracy: 0.959946
Test accuracy: 0.962514
Validation loss: 126385.202576
Validation accuracy: 0.957181
Test accuracy: 0.958607
Validation loss: 125430.076904
Validation accuracy: 0.956135
Test accuracy: 0.956368
Validation loss: 125364.690552
Validation accuracy: 0.960650
Test accuracy: 0.963298
Validation loss: 124722.102844
Validation accuracy: 0.961243
Test accuracy: 0.964437
Training loss: 881008.365448
Training accuracy: 0.966836

Epoch: 4
Validation loss: 125373.182617
Validation accuracy: 0.962480
Test accuracy: 0.964620
Validation loss: 124658.481079
Validation accuracy: 0.960409
Test accuracy: 0.961395
Validation loss: 124688.827240
Validation accuracy: 0.962832
Test accuracy: 0.964610
Validation loss: 124705.709656
Validation accuracy: 0.963516
Test accuracy: 0.964885
Validation loss: 125283.867615
Validation accuracy: 0.961575
Test accuracy: 0.962718
Validation loss: 124711.641785
Validation accuracy: 0.962128
Test accuracy: 0.964905
Validation loss: 124606.227417
Validation accuracy: 0.964974
Test accuracy: 0.966645
Validation loss: 124768.879639
Validation accuracy: 0.960720
Test accuracy: 0.961659
Validation loss: 125888.339172
Validation accuracy: 0.962450
Test accuracy: 0.962779
Validation loss: 124424.234985
Validation accuracy: 0.965075
Test accuracy: 0.966767
Validation loss: 124397.580292
Validation accuracy: 0.964331
Test accuracy: 0.966574
Validation loss: 124487.297882
Validation accuracy: 0.964150
Test accuracy: 0.966605
Validation loss: 124297.704010
Validation accuracy: 0.966412
Test accuracy: 0.968365
Validation loss: 125465.313232
Validation accuracy: 0.964753
Test accuracy: 0.967439
Validation loss: 124144.731018
Validation accuracy: 0.965658
Test accuracy: 0.968263
Validation loss: 125794.673401
Validation accuracy: 0.965517
Test accuracy: 0.968375
Validation loss: 124384.690796
Validation accuracy: 0.966040
Test accuracy: 0.967195
Validation loss: 124452.082642
Validation accuracy: 0.964894
Test accuracy: 0.966605
Validation loss: 124219.195679
Validation accuracy: 0.964592
Test accuracy: 0.967887
Training loss: 878820.474884
Training accuracy: 0.969892

Epoch: 5
Validation loss: 124502.082703
Validation accuracy: 0.965346
Test accuracy: 0.968385
Validation loss: 125103.955261
Validation accuracy: 0.966121
Test accuracy: 0.968131
Validation loss: 125415.885254
Validation accuracy: 0.965769
Test accuracy: 0.967805
Validation loss: 124887.496826
Validation accuracy: 0.963335
Test accuracy: 0.964590
Validation loss: 125005.478363
Validation accuracy: 0.966442
Test accuracy: 0.967429
Validation loss: 123992.427551
Validation accuracy: 0.965024
Test accuracy: 0.967388
Validation loss: 123955.163757
Validation accuracy: 0.968041
Test accuracy: 0.969250
Validation loss: 124657.677795
Validation accuracy: 0.962329
Test accuracy: 0.963450
Validation loss: 124360.884247
Validation accuracy: 0.965618
Test accuracy: 0.968650
Validation loss: 124558.474487
Validation accuracy: 0.966090
Test accuracy: 0.969128
Validation loss: 124186.387970
Validation accuracy: 0.965718
Test accuracy: 0.968049
Validation loss: 123679.662903
Validation accuracy: 0.967317
Test accuracy: 0.969962
Validation loss: 124768.409302
Validation accuracy: 0.964974
Test accuracy: 0.966686
Validation loss: 123840.612183
Validation accuracy: 0.967780
Test accuracy: 0.969596
Validation loss: 124792.072693
Validation accuracy: 0.967800
Test accuracy: 0.969372
Validation loss: 125348.491943
Validation accuracy: 0.964562
Test accuracy: 0.965892
Validation loss: 123960.464539
Validation accuracy: 0.967227
Test accuracy: 0.969138
Validation loss: 124829.740753
Validation accuracy: 0.965477
Test accuracy: 0.967276
Validation loss: 124221.656677
Validation accuracy: 0.966644
Test accuracy: 0.968385
Training loss: 877241.561218
Training accuracy: 0.972653

Epoch: 6
Validation loss: 124631.454468
Validation accuracy: 0.967388
Test accuracy: 0.968731
Validation loss: 124630.664917
Validation accuracy: 0.968393
Test accuracy: 0.969230
Validation loss: 124399.440186
Validation accuracy: 0.968926
Test accuracy: 0.970573
Validation loss: 124657.640137
Validation accuracy: 0.967770
Test accuracy: 0.969932
Validation loss: 124077.510529
Validation accuracy: 0.967810
Test accuracy: 0.969739
Validation loss: 123684.920044
Validation accuracy: 0.968564
Test accuracy: 0.971641
Validation loss: 124044.739868
Validation accuracy: 0.970445
Test accuracy: 0.972506
Validation loss: 124244.714600
Validation accuracy: 0.968323
Test accuracy: 0.971377
Validation loss: 124067.262634
Validation accuracy: 0.969489
Test accuracy: 0.971723
Validation loss: 124747.362915
Validation accuracy: 0.968846
Test accuracy: 0.970949
Validation loss: 124532.808472
Validation accuracy: 0.969982
Test accuracy: 0.972374
Validation loss: 125192.406555
Validation accuracy: 0.964823
Test accuracy: 0.965862
Validation loss: 123528.086487
Validation accuracy: 0.970284
Test accuracy: 0.972527
Validation loss: 123907.440674
Validation accuracy: 0.970384
Test accuracy: 0.972282
Validation loss: 124552.351013
Validation accuracy: 0.969791
Test accuracy: 0.970471
Validation loss: 123939.134521
Validation accuracy: 0.967941
Test accuracy: 0.971051
Validation loss: 123777.133545
Validation accuracy: 0.970244
Test accuracy: 0.971458
Validation loss: 123775.310181
Validation accuracy: 0.970676
Test accuracy: 0.973748
Validation loss: 123727.648987
Validation accuracy: 0.971179
Test accuracy: 0.974185
Training loss: 873706.980545
Training accuracy: 0.972863

Epoch: 7
Validation loss: 124304.219604
Validation accuracy: 0.968504
Test accuracy: 0.969942
Validation loss: 124437.681885
Validation accuracy: 0.969137
Test accuracy: 0.971336
Validation loss: 124506.586914
Validation accuracy: 0.969872
Test accuracy: 0.972791
Validation loss: 124726.351746
Validation accuracy: 0.967860
Test accuracy: 0.969555
Validation loss: 124265.872192
Validation accuracy: 0.969389
Test accuracy: 0.971438
Validation loss: 124231.881775
Validation accuracy: 0.969349
Test accuracy: 0.971214
Validation loss: 124649.555786
