Namespace(char='256', dev='19,21', embed='256', filetype='ner', mlp='512', output='ner_tagged_adam', test='22,24', train='0,18', trainer='adam', word='256')
Epoch: 0
Validation loss: 190640.423340
Validation accuracy: 0.022002
Test accuracy: 0.024139
Validation loss: 94645.921814
Validation accuracy: 0.925760
Test accuracy: 0.929609
Validation loss: 92412.145813
Validation accuracy: 0.937076
Test accuracy: 0.941027
Validation loss: 90987.175659
Validation accuracy: 0.946544
Test accuracy: 0.950203
Validation loss: 90416.504700
Validation accuracy: 0.950115
Test accuracy: 0.953564
Training loss: 634386.381989
Training accuracy: 0.958175

Epoch: 1
Validation loss: 91515.326721
Validation accuracy: 0.952706
Test accuracy: 0.956296
Validation loss: 89955.433716
Validation accuracy: 0.954400
Test accuracy: 0.957892
Validation loss: 90164.751099
Validation accuracy: 0.956767
Test accuracy: 0.959012
Validation loss: 90214.436523
Validation accuracy: 0.959064
Test accuracy: 0.961129
Validation loss: 89405.744568
Validation accuracy: 0.962593
Test accuracy: 0.964429
Training loss: 609037.438110
Training accuracy: 0.967346

Epoch: 2
Validation loss: 90672.186646
Validation accuracy: 0.961375
Test accuracy: 0.964521
Validation loss: 89438.967712
Validation accuracy: 0.962187
Test accuracy: 0.967191
Validation loss: 88640.085144
Validation accuracy: 0.966220
Test accuracy: 0.969140
Validation loss: 89506.365967
Validation accuracy: 0.967999
Test accuracy: 0.970045
Validation loss: 88909.992737
Validation accuracy: 0.967089
Test accuracy: 0.969570
Training loss: 604838.972046
Training accuracy: 0.973728

Epoch: 3
Validation loss: 89083.993835
Validation accuracy: 0.967999
Test accuracy: 0.969339
Validation loss: 89106.821594
Validation accuracy: 0.969203
Test accuracy: 0.972362
Validation loss: 89484.767822
Validation accuracy: 0.970548
Test accuracy: 0.973160
Validation loss: 88155.255676
Validation accuracy: 0.971430
Test accuracy: 0.973728
Validation loss: 89016.401855
Validation accuracy: 0.972382
Test accuracy: 0.974449
Training loss: 601576.612244
Training accuracy: 0.978772

Epoch: 4
Validation loss: 88716.168701
Validation accuracy: 0.972032
Test accuracy: 0.974649
Validation loss: 88718.119141
Validation accuracy: 0.972551
Test accuracy: 0.975831
Validation loss: 88362.299622
Validation accuracy: 0.973251
Test accuracy: 0.977074
Validation loss: 88830.234802
Validation accuracy: 0.973377
Test accuracy: 0.976107
Validation loss: 88735.432190
Validation accuracy: 0.974525
Test accuracy: 0.976767
Training loss: 597270.710876
Training accuracy: 0.982113

Epoch: 5
Validation loss: 88872.375305
Validation accuracy: 0.974651
Test accuracy: 0.977687
Validation loss: 88051.509521
Validation accuracy: 0.974301
Test accuracy: 0.977488
Validation loss: 88640.021851
Validation accuracy: 0.975141
Test accuracy: 0.978455
Validation loss: 88669.794495
Validation accuracy: 0.975281
Test accuracy: 0.978194
Validation loss: 88478.386169
Validation accuracy: 0.975267
Test accuracy: 0.977120
Training loss: 595866.103088
Training accuracy: 0.983035

Epoch: 6
Validation loss: 88470.211426
Validation accuracy: 0.975688
Test accuracy: 0.977334
Validation loss: 88183.050598
Validation accuracy: 0.975982
Test accuracy: 0.978409
Validation loss: 88508.558899
Validation accuracy: 0.976024
Test accuracy: 0.978025
Validation loss: 87613.049255
Validation accuracy: 0.976346
Test accuracy: 0.979498
Validation loss: 88314.454651
Validation accuracy: 0.977354
Test accuracy: 0.980204
Training loss: 595022.949707
Training accuracy: 0.985344

Epoch: 7
Validation loss: 87610.661133
Validation accuracy: 0.977508
Test accuracy: 0.979728
Validation loss: 88703.657471
Validation accuracy: 0.976962
Test accuracy: 0.979222
Validation loss: 87823.471985
Validation accuracy: 0.976696
Test accuracy: 0.980419
Validation loss: 88051.898682
Validation accuracy: 0.977522
Test accuracy: 0.980404
Validation loss: 88028.498962
Validation accuracy: 0.977802
Test accuracy: 0.981033
Training loss: 593509.902405
Training accuracy: 0.986973

Epoch: 8
Validation loss: 88162.735596
Validation accuracy: 0.979021
Test accuracy: 0.980971
Validation loss: 87843.187622
Validation accuracy: 0.977550
Test accuracy: 0.979728
Validation loss: 87680.034119
Validation accuracy: 0.977396
Test accuracy: 0.981478
Validation loss: 88753.562744
Validation accuracy: 0.978026
Test accuracy: 0.981877
Validation loss: 87936.409912
Validation accuracy: 0.978307
Test accuracy: 0.981462
Training loss: 592800.971375
Training accuracy: 0.987904

Epoch: 9
Validation loss: 87901.501892
Validation accuracy: 0.978082
Test accuracy: 0.981386
Validation loss: 88443.019714
Validation accuracy: 0.978545
Test accuracy: 0.982030
Validation loss: 88156.522461
Validation accuracy: 0.978825
Test accuracy: 0.981938
Validation loss: 88857.115356
Validation accuracy: 0.978811
Test accuracy: 0.981969
Validation loss: 88267.437378
Validation accuracy: 0.979343
Test accuracy: 0.982675
Training loss: 591541.770691
Training accuracy: 0.989142

Epoch: 10
Validation loss: 88377.707336
Validation accuracy: 0.979679
Test accuracy: 0.983135
Validation loss: 87976.485474
Validation accuracy: 0.979693
Test accuracy: 0.982629
Validation loss: 88312.934509
Validation accuracy: 0.980141
Test accuracy: 0.982046
Validation loss: 87938.443909
Validation accuracy: 0.980351
Test accuracy: 0.982890
Validation loss: 87599.373962
Validation accuracy: 0.980785
Test accuracy: 0.982506
Training loss: 591629.648010
Training accuracy: 0.990431

Epoch: 11
Validation loss: 87624.802979
Validation accuracy: 0.980001
Test accuracy: 0.983012
Validation loss: 88643.357788
Validation accuracy: 0.979105
Test accuracy: 0.981739
Validation loss: 88074.091553
Validation accuracy: 0.980617
Test accuracy: 0.983120
Validation loss: 87964.505188
Validation accuracy: 0.979861
Test accuracy: 0.983289
Validation loss: 87879.677307
Validation accuracy: 0.980449
Test accuracy: 0.983012
Training loss: 588529.547241
Training accuracy: 0.990499

Epoch: 12
Validation loss: 87907.926880
Validation accuracy: 0.979931
Test accuracy: 0.982767
Validation loss: 88248.109375
Validation accuracy: 0.979371
Test accuracy: 0.982798
Validation loss: 88452.999390
Validation accuracy: 0.980337
Test accuracy: 0.982874
Validation loss: 88983.679871
Validation accuracy: 0.980183
Test accuracy: 0.983948
Validation loss: 87982.687134
Validation accuracy: 0.981108
Test accuracy: 0.983749
Training loss: 590041.476013
Training accuracy: 0.991216

Epoch: 13
Validation loss: 88351.606628
Validation accuracy: 0.980365
Test accuracy: 0.982383
Validation loss: 88068.506531
Validation accuracy: 0.980295
Test accuracy: 0.983012
Validation loss: 88182.677979
Validation accuracy: 0.979931
Test accuracy: 0.983104
Validation loss: 88062.351379
Validation accuracy: 0.980309
Test accuracy: 0.983089
Validation loss: 88636.303284
Validation accuracy: 0.980687
Test accuracy: 0.983181
Training loss: 588877.774109
Training accuracy: 0.991964

Epoch: 14
Validation loss: 88209.371033
Validation accuracy: 0.981164
Test accuracy: 0.983703
Validation loss: 88299.230408
Validation accuracy: 0.980071
Test accuracy: 0.983089
Validation loss: 88229.829407
Validation accuracy: 0.980911
Test accuracy: 0.983304
Validation loss: 88093.205444
Validation accuracy: 0.980743
Test accuracy: 0.984163
Validation loss: 87724.555420
Validation accuracy: 0.980617
Test accuracy: 0.983933
Training loss: 589010.187500
Training accuracy: 0.992137

Epoch: 15
Validation loss: 87578.038269
Validation accuracy: 0.980617
