Namespace(char='256', dev='19,21', embed='256', filetype='.MRG', mlp='512', output='pos_adam_baseline', test='22,24', train='0,18', trainer='adam', word='256')
Epoch: 0
Validation loss: 502517.135620
Validation accuracy: 0.001852
Test accuracy: 0.002059
Validation loss: 408163.509033
Validation accuracy: 0.346541
Test accuracy: 0.348127
Validation loss: 348061.382935
Validation accuracy: 0.575436
Test accuracy: 0.569254
Validation loss: 319003.557739
Validation accuracy: 0.690813
Test accuracy: 0.686828
Validation loss: 308020.005981
Validation accuracy: 0.751207
Test accuracy: 0.749256
Validation loss: 300205.960083
Validation accuracy: 0.782132
Test accuracy: 0.782791
Validation loss: 293768.293457
Validation accuracy: 0.800961
Test accuracy: 0.801502
Validation loss: 286851.960083
Validation accuracy: 0.829207
Test accuracy: 0.828258
Validation loss: 286119.550171
Validation accuracy: 0.833465
Test accuracy: 0.831629
Validation loss: 281242.519531
Validation accuracy: 0.852756
Test accuracy: 0.852430
Validation loss: 278662.010986
Validation accuracy: 0.865711
Test accuracy: 0.864470
Validation loss: 277522.524414
Validation accuracy: 0.873042
Test accuracy: 0.873016
Validation loss: 276918.928101
Validation accuracy: 0.878036
Test accuracy: 0.879587
Validation loss: 272615.300049
Validation accuracy: 0.889670
Test accuracy: 0.889035
Validation loss: 272460.344238
Validation accuracy: 0.889184
Test accuracy: 0.886992
Validation loss: 269988.619507
Validation accuracy: 0.894383
Test accuracy: 0.893555
Validation loss: 273024.586670
Validation accuracy: 0.897365
Test accuracy: 0.895213
Validation loss: 270905.796570
Validation accuracy: 0.904992
Test accuracy: 0.905572
Validation loss: 267867.466431
Validation accuracy: 0.906442
Test accuracy: 0.909636
Validation loss: 269115.812988
Validation accuracy: 0.914661
Test accuracy: 0.916239
Validation loss: 268003.780518
Validation accuracy: 0.917385
Test accuracy: 0.917388
Validation loss: 267977.781006
Validation accuracy: 0.918683
Test accuracy: 0.918915
Validation loss: 266797.359009
Validation accuracy: 0.919229
Test accuracy: 0.917102
Validation loss: 267144.918579
Validation accuracy: 0.924094
Test accuracy: 0.924545
Training loss: 2027012.427826
Training accuracy: 0.918940

Epoch: 1
Validation loss: 266116.423340
Validation accuracy: 0.920899
Test accuracy: 0.920242
Validation loss: 265769.306030
Validation accuracy: 0.923031
Test accuracy: 0.922224
Validation loss: 266603.936279
Validation accuracy: 0.924936
Test accuracy: 0.923843
Validation loss: 265726.288696
Validation accuracy: 0.929254
Test accuracy: 0.929212
Validation loss: 265023.081970
Validation accuracy: 0.927069
Test accuracy: 0.927206
Validation loss: 266233.002441
Validation accuracy: 0.929209
Test accuracy: 0.929844
Validation loss: 264113.567627
Validation accuracy: 0.932578
Test accuracy: 0.930777
Validation loss: 265064.530090
Validation accuracy: 0.931440
Test accuracy: 0.932382
Validation loss: 263406.578308
Validation accuracy: 0.935060
Test accuracy: 0.934024
Validation loss: 263730.757935
Validation accuracy: 0.935925
Test accuracy: 0.936292
Validation loss: 262708.654907
Validation accuracy: 0.937276
Test accuracy: 0.934834
Validation loss: 262377.325562
Validation accuracy: 0.938377
Test accuracy: 0.939277
Validation loss: 263959.591919
Validation accuracy: 0.938043
Test accuracy: 0.939501
Validation loss: 262561.369751
Validation accuracy: 0.938316
Test accuracy: 0.940280
Validation loss: 262848.932983
Validation accuracy: 0.941769
Test accuracy: 0.939902
Validation loss: 261920.847473
Validation accuracy: 0.940130
Test accuracy: 0.941745
Validation loss: 261738.869568
Validation accuracy: 0.942604
Test accuracy: 0.942539
Validation loss: 262668.588745
Validation accuracy: 0.941101
Test accuracy: 0.940827
Validation loss: 262484.864014
Validation accuracy: 0.941784
Test accuracy: 0.944498
Validation loss: 261391.338379
Validation accuracy: 0.942209
Test accuracy: 0.943480
Validation loss: 261078.869019
Validation accuracy: 0.943355
Test accuracy: 0.943133
Validation loss: 262869.808838
Validation accuracy: 0.941913
Test accuracy: 0.944213
Validation loss: 261676.946289
Validation accuracy: 0.944668
Test accuracy: 0.945385
Validation loss: 262783.791077
Validation accuracy: 0.944433
Test accuracy: 0.944506
Training loss: 1829061.339630
Training accuracy: 0.945924

Epoch: 2
Validation loss: 262198.893066
Validation accuracy: 0.944357
Test accuracy: 0.944375
Validation loss: 261556.102844
Validation accuracy: 0.945996
Test accuracy: 0.945817
Validation loss: 261793.654236
Validation accuracy: 0.947688
Test accuracy: 0.947298
Validation loss: 261757.038879
Validation accuracy: 0.945981
Test accuracy: 0.946018
Validation loss: 261739.013733
Validation accuracy: 0.946823
Test accuracy: 0.948316
Validation loss: 263386.108887
Validation accuracy: 0.944068
Test accuracy: 0.946218
Validation loss: 261222.830933
Validation accuracy: 0.948000
Test accuracy: 0.949211
Validation loss: 260982.799072
Validation accuracy: 0.947483
Test accuracy: 0.949458
Validation loss: 262486.622681
Validation accuracy: 0.947491
Test accuracy: 0.948386
Validation loss: 260505.097107
Validation accuracy: 0.949039
Test accuracy: 0.949041
Validation loss: 260855.686707
Validation accuracy: 0.949032
Test accuracy: 0.950808
Validation loss: 260943.118896
Validation accuracy: 0.949942
Test accuracy: 0.949057
Validation loss: 260773.486694
Validation accuracy: 0.950390
Test accuracy: 0.949789
Validation loss: 259880.249390
Validation accuracy: 0.950709
Test accuracy: 0.951016
Validation loss: 261073.135864
Validation accuracy: 0.950565
Test accuracy: 0.951347
Validation loss: 260710.753296
Validation accuracy: 0.950041
Test accuracy: 0.952072
Validation loss: 260037.228882
Validation accuracy: 0.952113
Test accuracy: 0.950561
Validation loss: 260289.422241
Validation accuracy: 0.951506
Test accuracy: 0.951070
Validation loss: 260519.961609
Validation accuracy: 0.952196
Test accuracy: 0.952126
Validation loss: 261208.785767
Validation accuracy: 0.951050
Test accuracy: 0.949211
Validation loss: 259778.790588
Validation accuracy: 0.951369
Test accuracy: 0.951178
Validation loss: 260188.537659
Validation accuracy: 0.951506
Test accuracy: 0.951525
Validation loss: 259719.718994
Validation accuracy: 0.950724
Test accuracy: 0.951949
Validation loss: 259871.931641
Validation accuracy: 0.953471
Test accuracy: 0.953762
Training loss: 1806373.434082
Training accuracy: 0.954701

Epoch: 3
Validation loss: 260646.967163
Validation accuracy: 0.952629
Test accuracy: 0.954047
Validation loss: 261000.764221
Validation accuracy: 0.953221
Test accuracy: 0.953091
Validation loss: 260349.543335
Validation accuracy: 0.953411
Test accuracy: 0.954425
Validation loss: 260086.211182
Validation accuracy: 0.953448
Test accuracy: 0.952003
Validation loss: 258753.401550
Validation accuracy: 0.954534
Test accuracy: 0.954911
Validation loss: 260109.002014
Validation accuracy: 0.953881
Test accuracy: 0.953893
Validation loss: 259437.124878
Validation accuracy: 0.953798
Test accuracy: 0.954656
Validation loss: 260041.435303
Validation accuracy: 0.953160
Test accuracy: 0.953492
Validation loss: 260137.880371
Validation accuracy: 0.954435
Test accuracy: 0.956183
Validation loss: 259609.252014
Validation accuracy: 0.954503
Test accuracy: 0.954687
Validation loss: 259673.597839
Validation accuracy: 0.952841
Test accuracy: 0.953978
Validation loss: 260084.245361
Validation accuracy: 0.954503
Test accuracy: 0.954456
Validation loss: 259401.266846
Validation accuracy: 0.954602
Test accuracy: 0.956314
Validation loss: 260459.191528
Validation accuracy: 0.955110
Test accuracy: 0.952720
Validation loss: 259986.403320
Validation accuracy: 0.956401
Test accuracy: 0.955050
Validation loss: 258979.599487
Validation accuracy: 0.956211
Test accuracy: 0.955397
Validation loss: 259815.450745
Validation accuracy: 0.955573
Test accuracy: 0.955705
Validation loss: 260115.479736
Validation accuracy: 0.955338
Test accuracy: 0.955628
Validation loss: 259371.993713
Validation accuracy: 0.955968
Test accuracy: 0.956554
Validation loss: 259753.242432
Validation accuracy: 0.955968
Test accuracy: 0.957263
Validation loss: 260503.828491
Validation accuracy: 0.956211
Test accuracy: 0.957387
Validation loss: 260222.156372
Validation accuracy: 0.955589
Test accuracy: 0.956955
Validation loss: 259169.117859
Validation accuracy: 0.955915
Test accuracy: 0.958158
Validation loss: 259828.553711
Validation accuracy: 0.956211
Test accuracy: 0.957811
Training loss: 1797939.815918
Training accuracy: 0.958909

Epoch: 4
Validation loss: 258696.124939
Validation accuracy: 0.956628
Test accuracy: 0.955998
Validation loss: 258797.446899
Validation accuracy: 0.957478
Test accuracy: 0.956908
Validation loss: 259509.095093
Validation accuracy: 0.956370
Test accuracy: 0.955798
Validation loss: 258439.589478
Validation accuracy: 0.956522
Test accuracy: 0.956045
Validation loss: 259453.333252
Validation accuracy: 0.956264
Test accuracy: 0.958243
Validation loss: 259284.335205
Validation accuracy: 0.957228
Test accuracy: 0.956777
Validation loss: 258844.253052
Validation accuracy: 0.956105
Test accuracy: 0.955366
Validation loss: 259848.080444
Validation accuracy: 0.957425
Test accuracy: 0.959114
Validation loss: 258677.840942
Validation accuracy: 0.957167
Test accuracy: 0.957263
Validation loss: 259282.169800
Validation accuracy: 0.957251
Test accuracy: 0.957618
Validation loss: 260535.921997
Validation accuracy: 0.957934
Test accuracy: 0.958119
Validation loss: 259003.000732
Validation accuracy: 0.958404
Test accuracy: 0.957657
Validation loss: 258152.171509
Validation accuracy: 0.958708
Test accuracy: 0.957626
Validation loss: 258439.487549
