Namespace(char='256', dev='19,21', embed='256', filetype='.MRG', mlp='512', output='pos_baseline', test='22,24', train='0,18', trainer='sgd', word='256')
Epoch: 0
Validation loss: 506956.900757
Validation accuracy: 0.018366
Test accuracy: 0.017940
Validation loss: 438042.772339
Validation accuracy: 0.180803
Test accuracy: 0.177951
Validation loss: 423488.066406
Validation accuracy: 0.222505
Test accuracy: 0.220086
Validation loss: 403423.207397
Validation accuracy: 0.344849
Test accuracy: 0.342288
Validation loss: 386507.701416
Validation accuracy: 0.378628
Test accuracy: 0.378014
Validation loss: 379455.307007
Validation accuracy: 0.415215
Test accuracy: 0.411302
Validation loss: 366112.907349
Validation accuracy: 0.477248
Test accuracy: 0.474926
Validation loss: 350852.072754
Validation accuracy: 0.555309
Test accuracy: 0.549223
Validation loss: 344283.829712
Validation accuracy: 0.601588
Test accuracy: 0.594652
Validation loss: 335441.363403
Validation accuracy: 0.628688
Test accuracy: 0.625372
Validation loss: 331085.594604
Validation accuracy: 0.635564
Test accuracy: 0.632283
Validation loss: 324520.911377
Validation accuracy: 0.679179
Test accuracy: 0.673346
Validation loss: 321231.741699
Validation accuracy: 0.681061
Test accuracy: 0.682432
Validation loss: 319056.009399
Validation accuracy: 0.676955
Test accuracy: 0.674503
Validation loss: 312138.484985
Validation accuracy: 0.720767
Test accuracy: 0.722029
Validation loss: 311356.446533
Validation accuracy: 0.735786
Test accuracy: 0.731239
Validation loss: 305941.616577
Validation accuracy: 0.749029
Test accuracy: 0.746903
Validation loss: 303946.706055
Validation accuracy: 0.755350
Test accuracy: 0.755094
Validation loss: 303300.718018
Validation accuracy: 0.759190
Test accuracy: 0.754416
Validation loss: 304914.383789
Validation accuracy: 0.752087
Test accuracy: 0.748106
Validation loss: 297217.425171
Validation accuracy: 0.786648
Test accuracy: 0.782367
Validation loss: 295860.259766
Validation accuracy: 0.792157
Test accuracy: 0.790658
Validation loss: 294699.641235
Validation accuracy: 0.795990
Test accuracy: 0.799466
Validation loss: 294726.458130
Validation accuracy: 0.790731
Test accuracy: 0.786285
Training loss: 2355149.931885
Training accuracy: 0.781383

Epoch: 1
Validation loss: 296346.339233
Validation accuracy: 0.786390
Test accuracy: 0.783616
Validation loss: 289919.853882
Validation accuracy: 0.813263
Test accuracy: 0.811915
Validation loss: 288225.440552
Validation accuracy: 0.824054
Test accuracy: 0.823577
Validation loss: 291686.316284
Validation accuracy: 0.809635
Test accuracy: 0.810418
Validation loss: 286926.456665
Validation accuracy: 0.832182
Test accuracy: 0.829145
Validation loss: 289198.913574
Validation accuracy: 0.812557
Test accuracy: 0.815833
Validation loss: 287115.409180
Validation accuracy: 0.829253
Test accuracy: 0.830117
Validation loss: 285085.435791
Validation accuracy: 0.834444
Test accuracy: 0.834552
Validation loss: 283634.211670
Validation accuracy: 0.838838
Test accuracy: 0.837290
Validation loss: 284529.129517
Validation accuracy: 0.836660
Test accuracy: 0.837521
Validation loss: 282524.867432
Validation accuracy: 0.846526
Test accuracy: 0.847872
Validation loss: 280535.358643
Validation accuracy: 0.857758
Test accuracy: 0.860012
Validation loss: 279945.228760
Validation accuracy: 0.857788
Test accuracy: 0.861385
Validation loss: 278664.082764
Validation accuracy: 0.867145
Test accuracy: 0.864663
Validation loss: 280917.334351
Validation accuracy: 0.860778
Test accuracy: 0.861917
Validation loss: 278854.212158
Validation accuracy: 0.864937
Test accuracy: 0.865789
Validation loss: 279027.882812
Validation accuracy: 0.865521
Test accuracy: 0.867200
Validation loss: 278448.108276
Validation accuracy: 0.863100
Test accuracy: 0.865997
Validation loss: 279200.990234
Validation accuracy: 0.863108
Test accuracy: 0.862172
Validation loss: 274715.386719
Validation accuracy: 0.880419
Test accuracy: 0.882742
Validation loss: 274156.952148
Validation accuracy: 0.879371
Test accuracy: 0.880628
Validation loss: 275385.825073
Validation accuracy: 0.883348
Test accuracy: 0.882094
Validation loss: 275646.627197
Validation accuracy: 0.884221
Test accuracy: 0.885518
Validation loss: 274264.925049
Validation accuracy: 0.888418
Test accuracy: 0.889884
Training loss: 1952360.864014
Training accuracy: 0.882861

Epoch: 2
Validation loss: 275776.172974
Validation accuracy: 0.884266
Test accuracy: 0.884670
Validation loss: 272721.541016
Validation accuracy: 0.885572
Test accuracy: 0.884014
Validation loss: 272758.355469
Validation accuracy: 0.888220
Test accuracy: 0.888796
Validation loss: 272572.410645
Validation accuracy: 0.891506
Test accuracy: 0.893000
Validation loss: 273797.227783
Validation accuracy: 0.890201
Test accuracy: 0.890902
Validation loss: 271105.886597
Validation accuracy: 0.896439
Test accuracy: 0.895499
Validation loss: 270940.951782
Validation accuracy: 0.894307
Test accuracy: 0.894087
Validation loss: 270508.337646
Validation accuracy: 0.901767
Test accuracy: 0.901854
Validation loss: 270315.516968
Validation accuracy: 0.904301
Test accuracy: 0.906451
Validation loss: 270656.862305
Validation accuracy: 0.903315
Test accuracy: 0.902371
Validation loss: 269657.679321
Validation accuracy: 0.905174
Test accuracy: 0.906112
Validation loss: 270295.669556
Validation accuracy: 0.902564
Test accuracy: 0.901183
Validation loss: 269836.279175
Validation accuracy: 0.902708
Test accuracy: 0.903227
Validation loss: 269314.804199
Validation accuracy: 0.909257
Test accuracy: 0.907569
Validation loss: 268539.997681
Validation accuracy: 0.908491
Test accuracy: 0.908310
Validation loss: 270070.515015
Validation accuracy: 0.902860
Test accuracy: 0.904800
Validation loss: 268814.097778
Validation accuracy: 0.910335
Test accuracy: 0.907677
