Namespace(char='256', dev='19,21', embed='256', filetype='pos', mlp='512', output='pos_tagged_adam', test='22,24', train='0,18', trainer='adam', word='256')
Epoch: 0
Validation loss: 271939.881958
Validation accuracy: 0.005042
Test accuracy: 0.006491
Validation loss: 174351.632812
Validation accuracy: 0.676041
Test accuracy: 0.673475
Validation loss: 159549.024780
Validation accuracy: 0.801132
Test accuracy: 0.804788
Validation loss: 152804.331787
Validation accuracy: 0.853159
Test accuracy: 0.853065
Validation loss: 148515.283447
Validation accuracy: 0.883648
Test accuracy: 0.882575
Training loss: 1148304.265625
Training accuracy: 0.875047

Epoch: 1
Validation loss: 149780.339722
Validation accuracy: 0.878452
Test accuracy: 0.877710
Validation loss: 146935.049316
Validation accuracy: 0.898283
Test accuracy: 0.899072
Validation loss: 146372.791748
Validation accuracy: 0.912246
Test accuracy: 0.914663
Validation loss: 143996.016357
Validation accuracy: 0.918954
Test accuracy: 0.917440
Validation loss: 145386.488281
Validation accuracy: 0.925172
Test accuracy: 0.925666
Training loss: 993301.312500
Training accuracy: 0.930054

Epoch: 2
Validation loss: 144364.439575
Validation accuracy: 0.929052
Test accuracy: 0.929655
Validation loss: 143498.867188
Validation accuracy: 0.929276
Test accuracy: 0.929210
Validation loss: 142636.974365
Validation accuracy: 0.933981
Test accuracy: 0.934136
Validation loss: 143499.810303
Validation accuracy: 0.935984
Test accuracy: 0.935717
Validation loss: 142274.692871
Validation accuracy: 0.939947
Test accuracy: 0.939738
Training loss: 973022.203430
Training accuracy: 0.940640

Epoch: 3
Validation loss: 142152.685181
Validation accuracy: 0.937945
Test accuracy: 0.940351
Validation loss: 142573.384888
Validation accuracy: 0.943000
Test accuracy: 0.942254
Validation loss: 141288.300293
Validation accuracy: 0.941404
Test accuracy: 0.942868
Validation loss: 141709.883911
Validation accuracy: 0.944261
Test accuracy: 0.946705
Validation loss: 141219.004028
Validation accuracy: 0.947468
Test accuracy: 0.946889
Training loss: 964364.504150
Training accuracy: 0.947729

Epoch: 4
Validation loss: 141273.236084
Validation accuracy: 0.944849
Test accuracy: 0.946121
Validation loss: 141738.530396
Validation accuracy: 0.947692
Test accuracy: 0.946213
Validation loss: 141920.284424
Validation accuracy: 0.948588
Test accuracy: 0.949835
Validation loss: 141229.826660
Validation accuracy: 0.949961
Test accuracy: 0.948761
Validation loss: 141051.515869
Validation accuracy: 0.948336
Test accuracy: 0.949881
Training loss: 958832.537170
Training accuracy: 0.953388

Epoch: 5
Validation loss: 142682.282349
Validation accuracy: 0.950241
Test accuracy: 0.950096
Validation loss: 141724.457397
Validation accuracy: 0.951543
Test accuracy: 0.951769
Validation loss: 141397.013306
Validation accuracy: 0.951361
Test accuracy: 0.951646
Validation loss: 141415.457520
Validation accuracy: 0.951193
Test accuracy: 0.952183
Validation loss: 140548.153625
Validation accuracy: 0.953588
Test accuracy: 0.954423
Training loss: 956469.595093
Training accuracy: 0.955454

Epoch: 6
Validation loss: 141089.453857
Validation accuracy: 0.951669
Test accuracy: 0.953549
Validation loss: 141366.641174
Validation accuracy: 0.952790
Test accuracy: 0.951262
Validation loss: 140937.557373
Validation accuracy: 0.953392
Test accuracy: 0.953794
Validation loss: 140000.888916
Validation accuracy: 0.953980
Test accuracy: 0.956019
Validation loss: 141388.641357
Validation accuracy: 0.954274
Test accuracy: 0.954531
Training loss: 953614.863831
Training accuracy: 0.960908

Epoch: 7
Validation loss: 141200.451050
Validation accuracy: 0.955731
Test accuracy: 0.955252
Validation loss: 140759.981201
Validation accuracy: 0.955465
Test accuracy: 0.956342
Validation loss: 140359.605225
Validation accuracy: 0.956641
Test accuracy: 0.957216
Validation loss: 141337.367798
Validation accuracy: 0.956053
Test accuracy: 0.955298
Validation loss: 140849.649414
Validation accuracy: 0.956963
Test accuracy: 0.957876
Training loss: 952161.142273
Training accuracy: 0.962568

Epoch: 8
Validation loss: 139515.354614
Validation accuracy: 0.956347
Test accuracy: 0.956035
Validation loss: 139521.277588
Validation accuracy: 0.956235
Test accuracy: 0.956833
Validation loss: 140690.985840
Validation accuracy: 0.956739
Test accuracy: 0.955912
Validation loss: 140210.555664
Validation accuracy: 0.957775
Test accuracy: 0.959135
Validation loss: 140030.509766
Validation accuracy: 0.958378
Test accuracy: 0.958904
Training loss: 951183.980591
Training accuracy: 0.963437

Epoch: 9
Validation loss: 141787.576660
Validation accuracy: 0.957677
Test accuracy: 0.957569
Validation loss: 140607.727417
Validation accuracy: 0.956879
Test accuracy: 0.955252
Validation loss: 140908.883972
Validation accuracy: 0.957243
Test accuracy: 0.957493
Validation loss: 140523.581970
Validation accuracy: 0.957902
Test accuracy: 0.958996
Validation loss: 140006.643188
Validation accuracy: 0.957691
Test accuracy: 0.958337
Training loss: 952987.640564
Training accuracy: 0.964986

Epoch: 10
Validation loss: 140043.296570
Validation accuracy: 0.957986
Test accuracy: 0.959426
Validation loss: 140597.420776
Validation accuracy: 0.958154
Test accuracy: 0.958613
Validation loss: 140574.589111
Validation accuracy: 0.957775
Test accuracy: 0.960071
Validation loss: 139711.214478
Validation accuracy: 0.957439
Test accuracy: 0.959288
Validation loss: 140428.398560
Validation accuracy: 0.958266
Test accuracy: 0.958950
Training loss: 949791.436646
Training accuracy: 0.965952

Epoch: 11
Validation loss: 140772.965698
Validation accuracy: 0.958252
Test accuracy: 0.958321
Validation loss: 140871.923584
Validation accuracy: 0.958574
Test accuracy: 0.958168
Validation loss: 140930.531494
Validation accuracy: 0.959260
Test accuracy: 0.959979
Validation loss: 140356.574585
Validation accuracy: 0.958476
Test accuracy: 0.956848
Validation loss: 140343.723267
Validation accuracy: 0.958504
Test accuracy: 0.960562
Training loss: 946117.926208
Training accuracy: 0.967739

Epoch: 12
Validation loss: 140649.544434
Validation accuracy: 0.958770
Test accuracy: 0.960991
Validation loss: 140359.866577
Validation accuracy: 0.959330
Test accuracy: 0.960331
Validation loss: 140759.676758
Validation accuracy: 0.959862
Test accuracy: 0.962357
Validation loss: 140012.952148
Validation accuracy: 0.959778
Test accuracy: 0.961007
Validation loss: 140211.822021
Validation accuracy: 0.961081
Test accuracy: 0.960715
Training loss: 947438.344604
