Namespace(char='32', dev='19,21', embed='32', filetype='ner', mlp='64', output='small32_ner_adam', test='22,24', train='0,18', trainer='adam', word='32')
Epoch: 0
Validation loss: 174033.282959
Validation accuracy: 0.001148
Test accuracy: 0.000829
Validation loss: 101547.679504
Validation accuracy: 0.910285
Test accuracy: 0.914571
Validation loss: 96337.121948
Validation accuracy: 0.914389
Test accuracy: 0.919865
Validation loss: 95068.022583
Validation accuracy: 0.917133
Test accuracy: 0.925481
Validation loss: 94241.924377
Validation accuracy: 0.920691
Test accuracy: 0.927952
Training loss: 668880.122314
Training accuracy: 0.929458

Epoch: 1
Validation loss: 93511.618652
Validation accuracy: 0.921447
Test accuracy: 0.927538
Validation loss: 93178.420044
Validation accuracy: 0.927385
Test accuracy: 0.931359
Validation loss: 92953.609436
Validation accuracy: 0.925985
Test accuracy: 0.932356
Validation loss: 93011.558838
Validation accuracy: 0.930690
Test accuracy: 0.935410
Validation loss: 92507.497498
Validation accuracy: 0.932875
Test accuracy: 0.938418
Training loss: 627836.810791
Training accuracy: 0.940386

Epoch: 2
Validation loss: 92480.273926
Validation accuracy: 0.932777
Test accuracy: 0.935763
Validation loss: 92699.440002
Validation accuracy: 0.936418
Test accuracy: 0.940351
Validation loss: 92289.991150
Validation accuracy: 0.937454
Test accuracy: 0.941717
Validation loss: 92786.189453
Validation accuracy: 0.939471
Test accuracy: 0.942546
Validation loss: 91395.157776
Validation accuracy: 0.940339
Test accuracy: 0.942684
Training loss: 623014.751831
Training accuracy: 0.947994

Epoch: 3
Validation loss: 91584.059692
Validation accuracy: 0.941040
Test accuracy: 0.943743
Validation loss: 91603.918396
Validation accuracy: 0.940886
Test accuracy: 0.942791
Validation loss: 91519.097900
Validation accuracy: 0.942468
Test accuracy: 0.945446
Validation loss: 91518.511719
Validation accuracy: 0.943379
Test accuracy: 0.946152
Validation loss: 91016.813904
Validation accuracy: 0.942804
Test accuracy: 0.945369
Training loss: 618863.091339
Training accuracy: 0.951030

Epoch: 4
Validation loss: 91727.645325
Validation accuracy: 0.944177
Test accuracy: 0.947057
Validation loss: 90686.903870
Validation accuracy: 0.944877
Test accuracy: 0.948684
Validation loss: 91173.621765
Validation accuracy: 0.946011
Test accuracy: 0.949006
Validation loss: 91438.784851
Validation accuracy: 0.947748
Test accuracy: 0.949467
Validation loss: 91489.699829
Validation accuracy: 0.947048
Test accuracy: 0.949712
Training loss: 616245.621521
Training accuracy: 0.954292

Epoch: 5
Validation loss: 91180.550781
Validation accuracy: 0.946936
Test accuracy: 0.950050
Validation loss: 90409.981323
Validation accuracy: 0.947692
Test accuracy: 0.951139
Validation loss: 90490.785034
Validation accuracy: 0.948350
Test accuracy: 0.950464
Validation loss: 91005.872131
Validation accuracy: 0.948462
Test accuracy: 0.953211
Validation loss: 91135.969360
Validation accuracy: 0.949583
Test accuracy: 0.951738
Training loss: 614524.110016
Training accuracy: 0.956381

Epoch: 6
Validation loss: 91011.294495
Validation accuracy: 0.950619
Test accuracy: 0.952229
Validation loss: 90802.396667
Validation accuracy: 0.949163
Test accuracy: 0.952183
Validation loss: 90851.599243
Validation accuracy: 0.950073
Test accuracy: 0.954086
Validation loss: 89721.109009
Validation accuracy: 0.950311
Test accuracy: 0.952996
Validation loss: 90707.819519
Validation accuracy: 0.950717
Test accuracy: 0.953257
Training loss: 613734.050232
Training accuracy: 0.957320

Epoch: 7
Validation loss: 90711.020447
Validation accuracy: 0.949821
Test accuracy: 0.953963
Validation loss: 90766.715881
Validation accuracy: 0.951893
Test accuracy: 0.954899
Validation loss: 90528.358398
Validation accuracy: 0.952258
Test accuracy: 0.954868
Validation loss: 90787.364441
Validation accuracy: 0.952342
Test accuracy: 0.954024
Validation loss: 90450.418518
Validation accuracy: 0.951963
Test accuracy: 0.955206
Training loss: 612373.894592
Training accuracy: 0.958764

Epoch: 8
Validation loss: 90487.291321
Validation accuracy: 0.952019
Test accuracy: 0.953733
Validation loss: 90224.596558
Validation accuracy: 0.952748
Test accuracy: 0.956050
Validation loss: 90719.467102
Validation accuracy: 0.950633
Test accuracy: 0.956495
Validation loss: 90600.590027
Validation accuracy: 0.954148
Test accuracy: 0.956695
Validation loss: 89755.765564
Validation accuracy: 0.953238
Test accuracy: 0.956418
Training loss: 610541.201538
Training accuracy: 0.960442

Epoch: 9
Validation loss: 90366.177673
Validation accuracy: 0.953952
Test accuracy: 0.956879
Validation loss: 90563.674316
Validation accuracy: 0.956109
Test accuracy: 0.956741
Validation loss: 91055.598511
Validation accuracy: 0.955157
Test accuracy: 0.958030
Validation loss: 89921.151123
Validation accuracy: 0.953854
Test accuracy: 0.957001
Validation loss: 90225.049622
Validation accuracy: 0.955605
Test accuracy: 0.958505
Training loss: 610762.809204
Training accuracy: 0.962104

Epoch: 10
Validation loss: 90203.687866
Validation accuracy: 0.956137
Test accuracy: 0.958567
Validation loss: 90562.873474
Validation accuracy: 0.955633
Test accuracy: 0.957508
Validation loss: 90067.713196
Validation accuracy: 0.956389
Test accuracy: 0.958904
Validation loss: 90440.661438
Validation accuracy: 0.956263
Test accuracy: 0.959257
Validation loss: 90773.455017
Validation accuracy: 0.957285
Test accuracy: 0.960500
Training loss: 610021.538696
Training accuracy: 0.962108

Epoch: 11
Validation loss: 90288.346802
Validation accuracy: 0.955941
Test accuracy: 0.958751
Validation loss: 90521.868713
Validation accuracy: 0.957607
Test accuracy: 0.959380
Validation loss: 90807.792969
Validation accuracy: 0.957299
Test accuracy: 0.959840
Validation loss: 90456.056885
Validation accuracy: 0.956613
Test accuracy: 0.958904
Validation loss: 89945.922302
Validation accuracy: 0.957593
Test accuracy: 0.959165
Training loss: 608197.024445
Training accuracy: 0.963676

Epoch: 12
Validation loss: 90259.761230
Validation accuracy: 0.957747
Test accuracy: 0.960516
Validation loss: 90779.320129
Validation accuracy: 0.956739
Test accuracy: 0.959288
Validation loss: 89995.365601
Validation accuracy: 0.956613
Test accuracy: 0.959871
Validation loss: 90241.697937
Validation accuracy: 0.956879
Test accuracy: 0.960393
Validation loss: 90045.639160
Validation accuracy: 0.958126
Test accuracy: 0.961406
Training loss: 610093.267517
Training accuracy: 0.962275

Epoch: 13
Validation loss: 89985.047241
Validation accuracy: 0.955661
Test accuracy: 0.958229
Validation loss: 90145.091919
Validation accuracy: 0.958700
Test accuracy: 0.959687
Validation loss: 90291.784119
Validation accuracy: 0.959204
Test accuracy: 0.960930
Validation loss: 89525.976746
Validation accuracy: 0.959638
Test accuracy: 0.961805
Validation loss: 88996.901184
Validation accuracy: 0.959358
Test accuracy: 0.961053
Training loss: 608253.116913
Training accuracy: 0.965311

Epoch: 14
Validation loss: 90042.379333
Validation accuracy: 0.959302
Test accuracy: 0.962587
Validation loss: 89676.117065
Validation accuracy: 0.958028
Test accuracy: 0.961559
Validation loss: 90182.972534
Validation accuracy: 0.959638
Test accuracy: 0.962495
Validation loss: 90377.715881
Validation accuracy: 0.957523
Test accuracy: 0.961851
Validation loss: 89768.071777
Validation accuracy: 0.959134
Test accuracy: 0.961513
Training loss: 609095.910034
Training accuracy: 0.966001

Epoch: 15
Validation loss: 89649.856506
Validation accuracy: 0.959736
Test accuracy: 0.961989
Validation loss: 90220.186768
Validation accuracy: 0.959680
Test accuracy: 0.962219
Validation loss: 90062.916870
Validation accuracy: 0.958994
Test accuracy: 0.961268
Validation loss: 89747.210876
Validation accuracy: 0.960198
Test accuracy: 0.962986
Validation loss: 89049.865845
Validation accuracy: 0.960044
Test accuracy: 0.962618
Training loss: 607428.130798
Training accuracy: 0.965886

Epoch: 16
Validation loss: 90024.892273
Validation accuracy: 0.959876
Test accuracy: 0.961528
Validation loss: 90200.154358
