Namespace(char='32', dev='19,21', embed='32', filetype='pos', mlp='64', output='small32_pos_adam', test='22,24', train='0,18', trainer='adam', word='32')
Epoch: 0
Validation loss: 278665.307129
Validation accuracy: 0.015853
Test accuracy: 0.014333
Validation loss: 226332.535767
Validation accuracy: 0.293639
Test accuracy: 0.285322
Validation loss: 209706.724487
Validation accuracy: 0.381113
Test accuracy: 0.376091
Validation loss: 201652.942139
Validation accuracy: 0.439933
Test accuracy: 0.431612
Validation loss: 195202.127075
Validation accuracy: 0.490715
Test accuracy: 0.491614
Training loss: 1465073.087830
Training accuracy: 0.509166

Epoch: 1
Validation loss: 193502.204346
Validation accuracy: 0.510630
Test accuracy: 0.507450
Validation loss: 187725.038452
Validation accuracy: 0.578651
Test accuracy: 0.573836
Validation loss: 183236.333496
Validation accuracy: 0.613411
Test accuracy: 0.610236
Validation loss: 179435.375244
Validation accuracy: 0.638312
Test accuracy: 0.641863
Validation loss: 177301.128052
Validation accuracy: 0.659375
Test accuracy: 0.646405
Training loss: 1253316.501770
Training accuracy: 0.651162

Epoch: 2
Validation loss: 175765.712402
Validation accuracy: 0.661868
Test accuracy: 0.660032
Validation loss: 175262.608887
Validation accuracy: 0.684331
Test accuracy: 0.672247
Validation loss: 173446.407715
Validation accuracy: 0.691600
Test accuracy: 0.685107
Validation loss: 172208.956421
Validation accuracy: 0.700003
Test accuracy: 0.697859
Validation loss: 171435.689453
Validation accuracy: 0.707173
Test accuracy: 0.699563
Training loss: 1184976.091431
Training accuracy: 0.701419

Epoch: 3
Validation loss: 170057.644287
Validation accuracy: 0.713812
Test accuracy: 0.713174
Validation loss: 168879.714478
Validation accuracy: 0.719652
Test accuracy: 0.723256
Validation loss: 168370.369019
Validation accuracy: 0.725772
Test accuracy: 0.725988
Validation loss: 167209.947998
Validation accuracy: 0.737046
Test accuracy: 0.733047
Validation loss: 166805.814819
Validation accuracy: 0.735785
Test accuracy: 0.732801
Training loss: 1152351.467773
Training accuracy: 0.731138

Epoch: 4
Validation loss: 165749.734985
Validation accuracy: 0.735729
Test accuracy: 0.736822
Validation loss: 166656.514893
Validation accuracy: 0.741513
Test accuracy: 0.743543
Validation loss: 165485.609863
Validation accuracy: 0.749454
Test accuracy: 0.745431
Validation loss: 165321.150269
Validation accuracy: 0.745659
Test accuracy: 0.749237
Validation loss: 164260.061035
Validation accuracy: 0.758249
Test accuracy: 0.755958
Training loss: 1129050.470154
Training accuracy: 0.750867

Epoch: 5
Validation loss: 163713.267944
Validation accuracy: 0.757675
Test accuracy: 0.755083
Validation loss: 163606.084961
Validation accuracy: 0.766330
Test accuracy: 0.764690
Validation loss: 162914.569946
Validation accuracy: 0.763431
Test accuracy: 0.764720
Validation loss: 162750.933960
Validation accuracy: 0.775349
Test accuracy: 0.771626
Validation loss: 161583.280884
Validation accuracy: 0.771175
Test accuracy: 0.774710
Training loss: 1114731.742249
Training accuracy: 0.767520

Epoch: 6
Validation loss: 161340.916992
Validation accuracy: 0.772072
Test accuracy: 0.777795
Validation loss: 161741.387573
Validation accuracy: 0.771623
Test accuracy: 0.775125
Validation loss: 161246.974731
Validation accuracy: 0.779214
Test accuracy: 0.781063
Validation loss: 160485.451416
Validation accuracy: 0.782729
Test accuracy: 0.783396
Validation loss: 160711.223022
Validation accuracy: 0.783878
Test accuracy: 0.778915
Training loss: 1105196.817078
Training accuracy: 0.780485

Epoch: 7
Validation loss: 159389.926636
Validation accuracy: 0.783892
Test accuracy: 0.784486
Validation loss: 159905.680298
Validation accuracy: 0.793065
Test accuracy: 0.790133
Validation loss: 160586.835815
Validation accuracy: 0.792505
Test accuracy: 0.786573
Validation loss: 159316.739380
Validation accuracy: 0.788037
Test accuracy: 0.790731
Validation loss: 158880.188354
Validation accuracy: 0.794339
Test accuracy: 0.784915
Training loss: 1091693.126465
Training accuracy: 0.791458

Epoch: 8
Validation loss: 158743.507812
Validation accuracy: 0.795138
Test accuracy: 0.795872
Validation loss: 158729.238037
Validation accuracy: 0.793695
Test accuracy: 0.790133
Validation loss: 159248.133545
Validation accuracy: 0.797924
Test accuracy: 0.798373
Validation loss: 158537.271973
Validation accuracy: 0.799143
Test accuracy: 0.794506
Validation loss: 158406.123047
Validation accuracy: 0.801902
Test accuracy: 0.798082
Training loss: 1083542.129639
Training accuracy: 0.799540

Epoch: 9
Validation loss: 158800.823730
Validation accuracy: 0.803498
Test accuracy: 0.805202
Validation loss: 158312.695679
Validation accuracy: 0.803652
Test accuracy: 0.805801
Validation loss: 158130.233154
Validation accuracy: 0.807910
Test accuracy: 0.804542
Validation loss: 157897.727661
Validation accuracy: 0.804255
Test accuracy: 0.806215
Validation loss: 157772.340698
Validation accuracy: 0.810529
Test accuracy: 0.806967
Training loss: 1079588.609497
Training accuracy: 0.804664

Epoch: 10
Validation loss: 158217.234863
Validation accuracy: 0.813120
Test accuracy: 0.799862
Validation loss: 157964.283691
Validation accuracy: 0.811453
Test accuracy: 0.810343
Validation loss: 157328.626831
Validation accuracy: 0.807910
Test accuracy: 0.808916
Validation loss: 156885.167969
Validation accuracy: 0.811425
Test accuracy: 0.810803
Validation loss: 156398.489014
Validation accuracy: 0.813624
Test accuracy: 0.813489
Training loss: 1073119.359619
Training accuracy: 0.808971
