Namespace(char='64', dev='19,21', embed='64', filetype='ner', mlp='128', output='small_ner_tagged_baseline', test='22,24', train='0,18', trainer='adam', word='64')
Epoch: 0
Validation loss: 197201.592896
Validation accuracy: 0.000434
Test accuracy: 0.000307
Validation loss: 97435.781860
Validation accuracy: 0.911195
Test accuracy: 0.915737
Validation loss: 94828.688843
Validation accuracy: 0.919346
Test accuracy: 0.926817
Validation loss: 93234.901062
Validation accuracy: 0.924206
Test accuracy: 0.930684
Validation loss: 92770.775085
Validation accuracy: 0.932483
Test accuracy: 0.936960
Training loss: 658639.625854
Training accuracy: 0.940743

Epoch: 1
Validation loss: 92635.343323
Validation accuracy: 0.934359
Test accuracy: 0.939231
Validation loss: 92047.559143
Validation accuracy: 0.935858
Test accuracy: 0.939784
Validation loss: 91318.541382
Validation accuracy: 0.942076
Test accuracy: 0.945462
Validation loss: 91391.140564
Validation accuracy: 0.944597
Test accuracy: 0.948715
Validation loss: 91337.722168
Validation accuracy: 0.946656
Test accuracy: 0.950756
Training loss: 619999.312714
Training accuracy: 0.950530

Epoch: 2
Validation loss: 91228.780579
Validation accuracy: 0.944289
Test accuracy: 0.945109
Validation loss: 90771.050354
Validation accuracy: 0.946936
Test accuracy: 0.949651
Validation loss: 90278.728882
Validation accuracy: 0.950871
Test accuracy: 0.953948
Validation loss: 90600.992615
Validation accuracy: 0.951529
Test accuracy: 0.955099
Validation loss: 90825.974243
Validation accuracy: 0.952048
Test accuracy: 0.957339
Training loss: 615250.074158
Training accuracy: 0.958659

Epoch: 3
Validation loss: 90767.219604
Validation accuracy: 0.952076
Test accuracy: 0.955666
Validation loss: 90739.125183
Validation accuracy: 0.951445
Test accuracy: 0.953978
Validation loss: 90948.697998
Validation accuracy: 0.954092
Test accuracy: 0.956234
Validation loss: 90562.883362
Validation accuracy: 0.954008
Test accuracy: 0.957661
Validation loss: 90321.670227
Validation accuracy: 0.956109
Test accuracy: 0.959303
Training loss: 611978.389221
Training accuracy: 0.961406

Epoch: 4
Validation loss: 90747.489807
Validation accuracy: 0.954526
Test accuracy: 0.959380
Validation loss: 89956.310120
Validation accuracy: 0.956935
Test accuracy: 0.960439
Validation loss: 90386.343506
Validation accuracy: 0.955997
Test accuracy: 0.960853
Validation loss: 90735.940491
Validation accuracy: 0.957313
Test accuracy: 0.961083
Validation loss: 90149.923096
Validation accuracy: 0.960254
Test accuracy: 0.961559
Training loss: 609095.235413
Training accuracy: 0.965420

Epoch: 5
Validation loss: 89866.878784
Validation accuracy: 0.959638
Test accuracy: 0.962403
Validation loss: 90062.611633
Validation accuracy: 0.960520
Test accuracy: 0.962357
Validation loss: 89675.574585
Validation accuracy: 0.960310
Test accuracy: 0.962234
Validation loss: 89530.645691
Validation accuracy: 0.960548
Test accuracy: 0.963784
Validation loss: 90178.070374
Validation accuracy: 0.959974
Test accuracy: 0.964582
Training loss: 606303.988464
