Namespace(char='64', dev='19,21', embed='64', filetype='pos', mlp='128', output='small_pos_tagged_baseline', test='22,24', train='0,18', trainer='adam', word='64')
Epoch: 0
Validation loss: 276629.563721
Validation accuracy: 0.005042
Test accuracy: 0.004113
Validation loss: 209453.400391
Validation accuracy: 0.392513
Test accuracy: 0.378900
Validation loss: 186832.092285
Validation accuracy: 0.596241
Test accuracy: 0.589335
Validation loss: 176768.767212
Validation accuracy: 0.662134
Test accuracy: 0.656733
Validation loss: 170965.974243
Validation accuracy: 0.705059
Test accuracy: 0.700990
Training loss: 1327955.859497
Training accuracy: 0.708395

Epoch: 1
Validation loss: 170076.289185
Validation accuracy: 0.716066
Test accuracy: 0.711578
Validation loss: 167731.472656
Validation accuracy: 0.738656
Test accuracy: 0.735011
Validation loss: 164999.658569
Validation accuracy: 0.760336
Test accuracy: 0.760009
Validation loss: 161799.248291
Validation accuracy: 0.777618
Test accuracy: 0.776874
Validation loss: 160009.489014
Validation accuracy: 0.795180
Test accuracy: 0.791775
Training loss: 1124968.283447
Training accuracy: 0.791425

Epoch: 2
Validation loss: 160187.995728
Validation accuracy: 0.798835
Test accuracy: 0.795335
Validation loss: 158955.252930
Validation accuracy: 0.811607
Test accuracy: 0.803944
Validation loss: 157808.702759
Validation accuracy: 0.815571
Test accuracy: 0.815085
Validation loss: 156547.868286
Validation accuracy: 0.822251
Test accuracy: 0.825950
Validation loss: 155698.922974
Validation accuracy: 0.830430
Test accuracy: 0.830553
Training loss: 1073487.484253
Training accuracy: 0.828372

Epoch: 3
Validation loss: 154864.906860
Validation accuracy: 0.836620
Test accuracy: 0.831136
Validation loss: 155443.493896
Validation accuracy: 0.839155
Test accuracy: 0.839408
Validation loss: 153782.176025
Validation accuracy: 0.843090
Test accuracy: 0.841326
Validation loss: 153543.254272
Validation accuracy: 0.848776
Test accuracy: 0.846927
Validation loss: 152369.520020
Validation accuracy: 0.851199
Test accuracy: 0.849152
Training loss: 1048859.534790
Training accuracy: 0.849210

Epoch: 4
Validation loss: 153365.023682
Validation accuracy: 0.855708
Test accuracy: 0.852237
Validation loss: 152181.436523
Validation accuracy: 0.858859
Test accuracy: 0.859081
Validation loss: 151175.494019
Validation accuracy: 0.861464
Test accuracy: 0.858835
Validation loss: 150657.968994
Validation accuracy: 0.864727
Test accuracy: 0.865480
Validation loss: 150605.303345
Validation accuracy: 0.868887
Test accuracy: 0.867889
Training loss: 1030923.394897
Training accuracy: 0.868063

Epoch: 5
Validation loss: 150931.505493
Validation accuracy: 0.867696
Test accuracy: 0.869823
Validation loss: 150182.945923
Validation accuracy: 0.871940
Test accuracy: 0.869838
Validation loss: 149971.682495
Validation accuracy: 0.869307
Test accuracy: 0.872339
Validation loss: 149111.445435
Validation accuracy: 0.876884
Test accuracy: 0.872677
Validation loss: 150012.122070
Validation accuracy: 0.876660
Test accuracy: 0.874948
Training loss: 1019118.751953
Training accuracy: 0.877018

Epoch: 6
Validation loss: 148871.633179
Validation accuracy: 0.880441
Test accuracy: 0.876099
Validation loss: 149195.219116
Validation accuracy: 0.881015
Test accuracy: 0.880181
Validation loss: 149844.093994
Validation accuracy: 0.879531
Test accuracy: 0.878462
Validation loss: 149163.004395
Validation accuracy: 0.883298
Test accuracy: 0.878585
Validation loss: 148999.084717
Validation accuracy: 0.883998
Test accuracy: 0.882544
Training loss: 1015231.825684
Training accuracy: 0.883083

Epoch: 7
Validation loss: 148597.843506
Validation accuracy: 0.883340
Test accuracy: 0.886105
Validation loss: 149118.431274
Validation accuracy: 0.884348
Test accuracy: 0.884708
Validation loss: 148105.033691
Validation accuracy: 0.891099
Test accuracy: 0.887501
Validation loss: 147920.139648
Validation accuracy: 0.891351
Test accuracy: 0.893624
Validation loss: 148470.863647
Validation accuracy: 0.892919
Test accuracy: 0.890248
Training loss: 1009005.417175
Training accuracy: 0.887186

Epoch: 8
Validation loss: 148017.597534
Validation accuracy: 0.889796
Test accuracy: 0.892043
Validation loss: 148199.468506
Validation accuracy: 0.892247
Test accuracy: 0.893685
Validation loss: 147382.768066
Validation accuracy: 0.896294
Test accuracy: 0.894898
Validation loss: 147514.676514
Validation accuracy: 0.891309
Test accuracy: 0.894575
Validation loss: 146773.716797
Validation accuracy: 0.895566
Test accuracy: 0.895235
Training loss: 1004569.454468
Training accuracy: 0.896759

