Epoch: 0
Validation loss: 16967.445312
Validation accuracy: 0.194099
Test accuracy: 0.187812
Validation loss: 9544.770508
Validation accuracy: 0.735701
Test accuracy: 0.742694
Validation loss: 6199.502930
Validation accuracy: 0.836317
Test accuracy: 0.837776
Validation loss: 4166.895508
Validation accuracy: 0.903790
Test accuracy: 0.896579
Validation loss: 3530.630615
Validation accuracy: 0.915117
Test accuracy: 0.905702
Validation loss: 3285.055908
Validation accuracy: 0.918683
Test accuracy: 0.912046
Training loss: 49499.252644

Epoch: 1
Validation loss: 3171.813965
Validation accuracy: 0.920920
Test accuracy: 0.912545
Validation loss: 3139.466797
Validation accuracy: 0.916375
Test accuracy: 0.910976
Validation loss: 2885.248535
Validation accuracy: 0.927143
Test accuracy: 0.920599
Validation loss: 2784.782227
Validation accuracy: 0.928332
Test accuracy: 0.923450
Validation loss: 2700.977295
Validation accuracy: 0.928961
Test accuracy: 0.926942
Validation loss: 2661.310303
Validation accuracy: 0.934485
Test accuracy: 0.930506
Training loss: 20413.695808

Epoch: 2
Validation loss: 2493.958252
Validation accuracy: 0.936932
Test accuracy: 0.929152
Validation loss: 2671.371338
Validation accuracy: 0.933366
Test accuracy: 0.929579
Validation loss: 2679.402832
Validation accuracy: 0.932037
Test accuracy: 0.929223
Validation loss: 2642.217773
Validation accuracy: 0.933925
Test accuracy: 0.928297
Validation loss: 2632.884033
Validation accuracy: 0.932737
Test accuracy: 0.927869
Validation loss: 2624.973633
Validation accuracy: 0.934415
Test accuracy: 0.926800
Training loss: 14984.132256

Epoch: 3
Validation loss: 2572.000000
Validation accuracy: 0.934555
Test accuracy: 0.931148
Validation loss: 2889.560059
Validation accuracy: 0.934065
Test accuracy: 0.929722
Validation loss: 2716.848877
Validation accuracy: 0.933646
Test accuracy: 0.930078
Validation loss: 2683.197021
Validation accuracy: 0.937351
Test accuracy: 0.931718
Validation loss: 2761.455811
Validation accuracy: 0.934625
Test accuracy: 0.929651
Validation loss: 2800.170410
Validation accuracy: 0.931198
Test accuracy: 0.927512
Training loss: 11747.210504

Epoch: 4
Validation loss: 2624.998535
Validation accuracy: 0.938960
Test accuracy: 0.933357
Validation loss: 2954.169189
Validation accuracy: 0.933016
Test accuracy: 0.928154
Validation loss: 3052.290771
Validation accuracy: 0.934625
Test accuracy: 0.930791
Validation loss: 3032.421143
Validation accuracy: 0.934764
Test accuracy: 0.933143
Validation loss: 3037.748779
Validation accuracy: 0.935184
Test accuracy: 0.931718
Validation loss: 2978.229492
Validation accuracy: 0.931618
Test accuracy: 0.924448
Training loss: 9367.214442

Epoch: 5
Validation loss: 2949.715576
Validation accuracy: 0.935324
Test accuracy: 0.930150
Validation loss: 3569.980957
Validation accuracy: 0.928961
Test accuracy: 0.923949
Validation loss: 3508.814453
Validation accuracy: 0.932037
Test accuracy: 0.926230
Validation loss: 3514.028564
Validation accuracy: 0.928891
Test accuracy: 0.925517
Validation loss: 3299.213379
Validation accuracy: 0.935813
Test accuracy: 0.927512
Validation loss: 3317.815186
Validation accuracy: 0.935184
Test accuracy: 0.927512
Training loss: 7399.443607

Epoch: 6
Validation loss: 3538.625488
Validation accuracy: 0.933785
Test accuracy: 0.927014
Validation loss: 3872.114990
Validation accuracy: 0.932037
Test accuracy: 0.928653
Validation loss: 4045.493652
Validation accuracy: 0.929660
Test accuracy: 0.923450
Validation loss: 3862.582520
Validation accuracy: 0.930849
Test accuracy: 0.925802
Validation loss: 3957.303955
Validation accuracy: 0.932387
Test accuracy: 0.929366
Validation loss: 3942.728516
Validation accuracy: 0.929171
Test accuracy: 0.924590
Training loss: 5645.342505

Epoch: 7
Validation loss: 4270.148438
Validation accuracy: 0.929940
Test accuracy: 0.924661
Validation loss: 4272.821289
Validation accuracy: 0.933016
Test accuracy: 0.930862
Validation loss: 4654.210449
Validation accuracy: 0.930429
Test accuracy: 0.926301
Validation loss: 4395.259277
Validation accuracy: 0.931548
Test accuracy: 0.929294
Validation loss: 4580.191406
Validation accuracy: 0.931688
Test accuracy: 0.928510
Validation loss: 4706.368164
Validation accuracy: 0.927912
Test accuracy: 0.920955
Training loss: 4292.888971

Epoch: 8
Validation loss: 4402.409668
Validation accuracy: 0.932387
Test accuracy: 0.927441
Validation loss: 5151.920898
Validation accuracy: 0.929590
Test accuracy: 0.923307
Validation loss: 4995.156250
Validation accuracy: 0.932946
Test accuracy: 0.928510
Validation loss: 5656.247070
Validation accuracy: 0.928611
Test accuracy: 0.925802
Validation loss: 5460.316895
Validation accuracy: 0.927632
Test accuracy: 0.925303
Validation loss: 5169.845215
Validation accuracy: 0.928472
Test accuracy: 0.924234
Training loss: 3197.249547

Epoch: 9
Validation loss: 4892.858887
Validation accuracy: 0.933086
Test accuracy: 0.928297
Validation loss: 5887.528809
Validation accuracy: 0.929450
Test accuracy: 0.927869
Validation loss: 5777.506348
Validation accuracy: 0.927912
Test accuracy: 0.927512
Validation loss: 5816.055664
Validation accuracy: 0.928192
Test accuracy: 0.926728
Validation loss: 6134.889160
Validation accuracy: 0.928052
Test accuracy: 0.923949
Validation loss: 6415.483398
Validation accuracy: 0.929520
Test accuracy: 0.925659
Training loss: 2525.677002

Epoch: 10
Validation loss: 6258.302246
Validation accuracy: 0.929171
Test accuracy: 0.927299
Validation loss: 6369.192383
Validation accuracy: 0.928541
Test accuracy: 0.923735
Validation loss: 6635.139648
Validation accuracy: 0.929031
Test accuracy: 0.926586
Validation loss: 6932.943848
Validation accuracy: 0.928541
Test accuracy: 0.923236
Validation loss: 6498.967773
Validation accuracy: 0.930779
Test accuracy: 0.926942
Validation loss: 6408.244141
Validation accuracy: 0.930150
Test accuracy: 0.926800
Training loss: 2157.307014

Epoch: 11
Validation loss: 6885.902832
Validation accuracy: 0.928402
Test accuracy: 0.923949
Validation loss: 6964.480469
Validation accuracy: 0.930709
Test accuracy: 0.927441
Validation loss: 6934.551270
Validation accuracy: 0.926374
Test accuracy: 0.925731
Validation loss: 7261.217773
Validation accuracy: 0.924766
Test accuracy: 0.924020
Validation loss: 7395.187500
Validation accuracy: 0.927982
Test accuracy: 0.923521
Validation loss: 6941.220703
Validation accuracy: 0.928192
Test accuracy: 0.924947
Training loss: 1765.560052

Epoch: 12
Validation loss: 7314.833008
Validation accuracy: 0.923927
Test accuracy: 0.923450
Validation loss: 7729.259766
Validation accuracy: 0.926654
Test accuracy: 0.925588
Validation loss: 7782.723633
Validation accuracy: 0.926863
Test accuracy: 0.923877
Validation loss: 8025.932617
Validation accuracy: 0.927003
Test accuracy: 0.924376
Validation loss: 8001.437012
Validation accuracy: 0.926024
Test accuracy: 0.925089
Validation loss: 8349.871094
Validation accuracy: 0.928541
Test accuracy: 0.923806
Training loss: 1449.790266

Epoch: 13
Validation loss: 8327.876953
Validation accuracy: 0.927493
Test accuracy: 0.925873
Validation loss: 8414.141602
Validation accuracy: 0.928192
Test accuracy: 0.926301
Validation loss: 8772.398438
Validation accuracy: 0.924067
Test accuracy: 0.923093
Validation loss: 8748.299805
Validation accuracy: 0.923857
Test accuracy: 0.923378
Validation loss: 9156.281250
Validation accuracy: 0.925675
Test accuracy: 0.924234
Validation loss: 9196.847656
Validation accuracy: 0.930359
Test accuracy: 0.922951
Training loss: 1303.106235

Epoch: 14
Validation loss: 8756.671875
Validation accuracy: 0.925605
Test accuracy: 0.921953
Validation loss: 8968.357422
Validation accuracy: 0.927563
Test accuracy: 0.922309
Validation loss: 9135.508789
Validation accuracy: 0.928961
Test accuracy: 0.924376
Validation loss: 9559.212891
Validation accuracy: 0.927772
