Epoch: 0
Validation loss: 15518.257812
Validation accuracy: 0.500280
Test accuracy: 0.506557
Validation loss: 4365.656250
Validation accuracy: 0.886939
Test accuracy: 0.888168
Validation loss: 3622.559326
Validation accuracy: 0.909803
Test accuracy: 0.908197
Validation loss: 3086.386963
Validation accuracy: 0.927073
Test accuracy: 0.921953
Validation loss: 3018.973145
Validation accuracy: 0.925395
Test accuracy: 0.923378
Validation loss: 2665.305664
Validation accuracy: 0.933646
Test accuracy: 0.929081
Training loss: 33125.500587

Epoch: 1
Validation loss: 2818.727539
Validation accuracy: 0.929311
Test accuracy: 0.924163
Validation loss: 2670.149658
Validation accuracy: 0.934555
Test accuracy: 0.928867
Validation loss: 2559.436279
Validation accuracy: 0.934275
Test accuracy: 0.928938
Validation loss: 2670.050781
Validation accuracy: 0.935673
Test accuracy: 0.929437
Validation loss: 2509.091064
Validation accuracy: 0.942036
Test accuracy: 0.933856
Validation loss: 2301.335449
Validation accuracy: 0.944274
Test accuracy: 0.939558
Training loss: 17179.359484

Epoch: 2
Validation loss: 2411.358887
Validation accuracy: 0.939799
Test accuracy: 0.931718
Validation loss: 2351.930908
Validation accuracy: 0.940428
Test accuracy: 0.935923
Validation loss: 2524.326660
Validation accuracy: 0.937771
Test accuracy: 0.934426
Validation loss: 2476.216553
Validation accuracy: 0.944833
Test accuracy: 0.938489
Validation loss: 2450.780273
Validation accuracy: 0.942246
Test accuracy: 0.935495
Validation loss: 2485.288086
Validation accuracy: 0.935673
Test accuracy: 0.933856
Training loss: 11471.809277

Epoch: 3
Validation loss: 2390.053467
Validation accuracy: 0.945043
Test accuracy: 0.940841
Validation loss: 2483.480957
Validation accuracy: 0.944134
Test accuracy: 0.937847
Validation loss: 2792.779541
Validation accuracy: 0.936233
Test accuracy: 0.933571
Validation loss: 2741.769043
Validation accuracy: 0.942805
Test accuracy: 0.939914
Validation loss: 2660.057129
Validation accuracy: 0.938960
Test accuracy: 0.933428
Validation loss: 2720.339600
Validation accuracy: 0.939869
Test accuracy: 0.935495
Training loss: 7758.359796

Epoch: 4
Validation loss: 2773.771973
Validation accuracy: 0.935464
Test accuracy: 0.930577
Validation loss: 3139.395752
Validation accuracy: 0.940428
Test accuracy: 0.937135
Validation loss: 3180.539551
Validation accuracy: 0.939169
Test accuracy: 0.936493
Validation loss: 2934.979980
Validation accuracy: 0.938330
Test accuracy: 0.933999
Validation loss: 2950.941162
Validation accuracy: 0.939169
Test accuracy: 0.936422
Validation loss: 2893.796631
Validation accuracy: 0.941477
Test accuracy: 0.938632
Training loss: 5280.077880

Epoch: 5
Validation loss: 2949.461670
Validation accuracy: 0.941407
Test accuracy: 0.937919
Validation loss: 3881.254639
Validation accuracy: 0.937281
Test accuracy: 0.935923
Validation loss: 3801.672852
Validation accuracy: 0.938121
Test accuracy: 0.936066
Validation loss: 3412.826416
Validation accuracy: 0.935324
Test accuracy: 0.931290
Validation loss: 3287.814941
Validation accuracy: 0.943854
Test accuracy: 0.939059
Validation loss: 3452.792969
Validation accuracy: 0.937491
Test accuracy: 0.932787
Training loss: 3688.945254

Epoch: 6
Validation loss: 3515.349854
Validation accuracy: 0.939379
Test accuracy: 0.935852
Validation loss: 4138.013672
Validation accuracy: 0.939239
Test accuracy: 0.934141
Validation loss: 4194.423828
Validation accuracy: 0.936932
Test accuracy: 0.931504
Validation loss: 3880.516846
Validation accuracy: 0.938121
Test accuracy: 0.934925
Validation loss: 4319.361816
Validation accuracy: 0.934625
Test accuracy: 0.928653
Validation loss: 3942.781982
Validation accuracy: 0.941686
Test accuracy: 0.934783
Training loss: 2661.587670

Epoch: 7
Validation loss: 4289.952148
Validation accuracy: 0.938400
Test accuracy: 0.931433
Validation loss: 4834.575684
Validation accuracy: 0.937212
Test accuracy: 0.934711
Validation loss: 4680.671875
Validation accuracy: 0.937072
Test accuracy: 0.933001
Validation loss: 4692.155762
Validation accuracy: 0.938400
Test accuracy: 0.933001
Validation loss: 4688.112305
Validation accuracy: 0.937002
Test accuracy: 0.935068
Validation loss: 4715.992188
Validation accuracy: 0.937981
Test accuracy: 0.934925
Training loss: 2029.755897

Epoch: 8
Validation loss: 4701.646484
Validation accuracy: 0.934904
Test accuracy: 0.933713
Validation loss: 5197.747070
Validation accuracy: 0.938750
Test accuracy: 0.934854
Validation loss: 5899.541992
Validation accuracy: 0.940638
Test accuracy: 0.936493
Validation loss: 5447.430176
Validation accuracy: 0.938051
Test accuracy: 0.936351
Validation loss: 5256.828125
Validation accuracy: 0.938190
Test accuracy: 0.936351
Validation loss: 5541.020996
Validation accuracy: 0.935883
Test accuracy: 0.934070
Training loss: 1537.114865

Epoch: 9
Validation loss: 5357.096680
Validation accuracy: 0.940428
Test accuracy: 0.936351
Validation loss: 6081.542969
Validation accuracy: 0.937142
Test accuracy: 0.933927
Validation loss: 6343.232422
Validation accuracy: 0.940428
Test accuracy: 0.935282
Validation loss: 6846.149902
Validation accuracy: 0.935324
Test accuracy: 0.931860
Validation loss: 6825.548340
Validation accuracy: 0.934415
Test accuracy: 0.933999
Validation loss: 6643.425293
Validation accuracy: 0.939519
Test accuracy: 0.936351
Training loss: 1208.695869

Epoch: 10
Validation loss: 6573.123047
Validation accuracy: 0.938470
Test accuracy: 0.935495
Validation loss: 6852.990723
Validation accuracy: 0.936373
Test accuracy: 0.935282
Validation loss: 7527.411133
Validation accuracy: 0.939379
Test accuracy: 0.937919
Validation loss: 7365.959961
Validation accuracy: 0.940358
Test accuracy: 0.935994
Validation loss: 6792.395996
Validation accuracy: 0.936932
Test accuracy: 0.934426
Validation loss: 6319.815430
Validation accuracy: 0.938960
Test accuracy: 0.936493
Training loss: 1076.603336

Epoch: 11
Validation loss: 6260.997559
Validation accuracy: 0.939099
Test accuracy: 0.935282
Validation loss: 6651.092773
Validation accuracy: 0.939799
Test accuracy: 0.934783
Validation loss: 7003.693848
Validation accuracy: 0.940638
Test accuracy: 0.935852
Validation loss: 7113.866211
Validation accuracy: 0.936862
Test accuracy: 0.933927
Validation loss: 7454.897461
Validation accuracy: 0.936932
Test accuracy: 0.934426
Validation loss: 7460.047363
Validation accuracy: 0.936862
Test accuracy: 0.936208
Training loss: 819.447136

Epoch: 12
Validation loss: 7670.120117
Validation accuracy: 0.939449
Test accuracy: 0.934783
Validation loss: 8253.683594
Validation accuracy: 0.937351
Test accuracy: 0.934426
Validation loss: 8791.020508
Validation accuracy: 0.933995
Test accuracy: 0.933072
Validation loss: 8560.994141
Validation accuracy: 0.933646
Test accuracy: 0.929081
Validation loss: 7660.884277
Validation accuracy: 0.940078
Test accuracy: 0.935139
Validation loss: 8308.856445
Validation accuracy: 0.940428
Test accuracy: 0.935780
Training loss: 803.125394

Epoch: 13
Validation loss: 8289.416992
Validation accuracy: 0.938190
Test accuracy: 0.935282
Validation loss: 8255.062500
Validation accuracy: 0.937911
Test accuracy: 0.934070
Validation loss: 8847.411133
Validation accuracy: 0.937981
Test accuracy: 0.933001
Validation loss: 9059.362305
Validation accuracy: 0.936373
Test accuracy: 0.933428
Validation loss: 8929.387695
Validation accuracy: 0.937421
Test accuracy: 0.935353
Validation loss: 8936.735352
Validation accuracy: 0.936582
Test accuracy: 0.933713
Training loss: 790.250975

Epoch: 14
Validation loss: 8703.338867
