Epoch: 0
Validation loss: 18391.107422
Validation accuracy: 0.233674
Test accuracy: 0.249822
Validation loss: 9239.581055
Validation accuracy: 0.761991
Test accuracy: 0.762865
Validation loss: 4622.774414
Validation accuracy: 0.890085
Test accuracy: 0.884462
Validation loss: 3822.911621
Validation accuracy: 0.909733
Test accuracy: 0.903279
Validation loss: 3459.761963
Validation accuracy: 0.918962
Test accuracy: 0.912259
Validation loss: 3189.011230
Validation accuracy: 0.925535
Test accuracy: 0.920100
Training loss: 47367.605343

Epoch: 1
Validation loss: 3070.478516
Validation accuracy: 0.928332
Test accuracy: 0.923093
Validation loss: 3010.204590
Validation accuracy: 0.930220
Test accuracy: 0.924448
Validation loss: 2918.531494
Validation accuracy: 0.931898
Test accuracy: 0.928011
Validation loss: 2859.148682
Validation accuracy: 0.933226
Test accuracy: 0.930150
Validation loss: 2865.833984
Validation accuracy: 0.933436
Test accuracy: 0.930506
Validation loss: 2765.621582
Validation accuracy: 0.935603
Test accuracy: 0.932787
Training loss: 22039.074341

Epoch: 2
Validation loss: 2740.566162
Validation accuracy: 0.936303
Test accuracy: 0.933072
Validation loss: 2786.520020
Validation accuracy: 0.936442
Test accuracy: 0.933713
Validation loss: 2701.792725
Validation accuracy: 0.938051
Test accuracy: 0.932929
Validation loss: 2772.342529
Validation accuracy: 0.938330
Test accuracy: 0.934569
Validation loss: 2718.435303
Validation accuracy: 0.936512
Test accuracy: 0.935068
Validation loss: 2729.405029
Validation accuracy: 0.938540
Test accuracy: 0.934783
Training loss: 17702.659861

Epoch: 3
Validation loss: 2704.677002
Validation accuracy: 0.938890
Test accuracy: 0.934212
Validation loss: 2746.887451
Validation accuracy: 0.938750
Test accuracy: 0.935282
Validation loss: 2733.700928
Validation accuracy: 0.939099
Test accuracy: 0.934426
Validation loss: 2748.113281
Validation accuracy: 0.938820
Test accuracy: 0.934640
Validation loss: 2744.871582
Validation accuracy: 0.939869
Test accuracy: 0.935424
Validation loss: 2719.940674
Validation accuracy: 0.939799
Test accuracy: 0.934925
Training loss: 14997.491287

Epoch: 4
Validation loss: 2755.460938
Validation accuracy: 0.938960
Test accuracy: 0.935282
Validation loss: 2742.194580
Validation accuracy: 0.939449
Test accuracy: 0.935923
Validation loss: 2830.317139
Validation accuracy: 0.940428
Test accuracy: 0.935852
Validation loss: 2836.393555
Validation accuracy: 0.940078
Test accuracy: 0.935282
Validation loss: 2816.125000
Validation accuracy: 0.939659
Test accuracy: 0.933642
Validation loss: 2916.326904
Validation accuracy: 0.934974
Test accuracy: 0.932145
Training loss: 13341.033546

Epoch: 5
Validation loss: 2807.318604
Validation accuracy: 0.939938
Test accuracy: 0.935709
Validation loss: 2889.165283
Validation accuracy: 0.938051
Test accuracy: 0.935210
Validation loss: 2918.721924
Validation accuracy: 0.938540
Test accuracy: 0.934996
Validation loss: 2857.724609
Validation accuracy: 0.939799
Test accuracy: 0.935068
Validation loss: 2941.742920
Validation accuracy: 0.938960
Test accuracy: 0.934498
Validation loss: 2935.396240
Validation accuracy: 0.939309
Test accuracy: 0.935923
Training loss: 12418.607363

Epoch: 6
Validation loss: 2899.098877
Validation accuracy: 0.939449
Test accuracy: 0.935638
Validation loss: 2922.915771
Validation accuracy: 0.940498
Test accuracy: 0.935709
Validation loss: 3048.145752
Validation accuracy: 0.937491
Test accuracy: 0.934640
Validation loss: 3040.939209
Validation accuracy: 0.938400
Test accuracy: 0.936565
Validation loss: 3053.923828
Validation accuracy: 0.937981
Test accuracy: 0.935210
Validation loss: 3056.892822
Validation accuracy: 0.938190
Test accuracy: 0.935495
Training loss: 11763.422447

Epoch: 7
Validation loss: 3003.756836
Validation accuracy: 0.938190
Test accuracy: 0.937063
Validation loss: 3063.609375
Validation accuracy: 0.936023
Test accuracy: 0.936279
Validation loss: 3048.133301
Validation accuracy: 0.938890
Test accuracy: 0.934212
Validation loss: 3141.653076
Validation accuracy: 0.937142
Test accuracy: 0.935210
Validation loss: 3205.959961
Validation accuracy: 0.936163
Test accuracy: 0.932288
Validation loss: 3168.925537
Validation accuracy: 0.937421
Test accuracy: 0.934070
Training loss: 11129.663748

Epoch: 8
Validation loss: 3120.439453
Validation accuracy: 0.936862
Test accuracy: 0.934854
Validation loss: 3199.586426
Validation accuracy: 0.937421
Test accuracy: 0.934355
Validation loss: 3282.365967
Validation accuracy: 0.936023
Test accuracy: 0.933713
Validation loss: 3235.851807
Validation accuracy: 0.938330
Test accuracy: 0.934925
Validation loss: 3233.926025
Validation accuracy: 0.937491
Test accuracy: 0.934925
Validation loss: 3247.583984
Validation accuracy: 0.935673
Test accuracy: 0.932288
Training loss: 10666.120845

Epoch: 9
Validation loss: 3168.869873
Validation accuracy: 0.938610
Test accuracy: 0.934925
Validation loss: 3301.948975
Validation accuracy: 0.938820
Test accuracy: 0.935852
Validation loss: 3280.102295
Validation accuracy: 0.936722
Test accuracy: 0.934925
Validation loss: 3333.824219
Validation accuracy: 0.937771
Test accuracy: 0.935495
Validation loss: 3349.372070
